Time,HwTSet,PrimTSet,ChActive,PrimT,HwTOutlet,ActPow,HwActive
2017-12-28T01:04:05.875Z,50,,,,25,,
2017-12-28T01:04:15.870Z,50,,,,25,,
2017-12-28T01:04:25.876Z,50,,,,24.9,,
2017-12-28T01:04:35.871Z,50,,,40.7,24.9,,
2017-12-28T01:04:45.947Z,50,,,,24.9,,
2017-12-28T01:04:55.886Z,50,,,,24.9,,
2017-12-28T01:05:05.870Z,50,,,,24.9,,
2017-12-28T01:05:15.871Z,50,,,,24.9,,
2017-12-28T01:05:25.876Z,50,,,,24.9,,
2017-12-28T01:05:35.872Z,50,,,,24.9,,
2017-12-28T01:05:45.870Z,50,,,,24.9,,
2017-12-28T01:05:55.876Z,50,,,,24.9,,
2017-12-28T01:06:05.870Z,50,,,40.6,24.9,,
2017-12-28T01:06:15.870Z,50,,,,24.9,,
2017-12-28T01:06:25.872Z,50,,,,24.9,,
2017-12-28T01:06:35.870Z,50,,,,24.9,,
2017-12-28T01:06:45.872Z,50,,,,24.9,,
2017-12-28T01:06:55.870Z,50,,,,24.9,,
2017-12-28T01:07:05.874Z,50,,,,24.9,,
2017-12-28T01:07:15.870Z,50,,,,24.9,,
2017-12-28T01:07:25.870Z,50,,,,24.9,,
2017-12-28T01:07:35.873Z,50,,,,24.9,,
2017-12-28T01:07:45.870Z,50,,,,24.8,,
2017-12-28T01:07:55.873Z,50,,,40.5,24.8,,
2017-12-28T01:08:05.870Z,50,,,,24.8,,
2017-12-28T01:08:15.870Z,50,,,,24.8,,
2017-12-28T01:08:25.870Z,50,,,,24.8,,
2017-12-28T01:08:35.875Z,50,,,,24.8,,
2017-12-28T01:08:45.870Z,50,,,,24.8,,
2017-12-28T01:08:55.870Z,50,,,,24.8,,
2017-12-28T01:09:05.873Z,50,,,,24.8,,
2017-12-28T01:09:15.873Z,50,,,,24.8,,
2017-12-28T01:09:25.870Z,50,,,40.4,24.8,,
2017-12-28T01:09:35.875Z,50,,,,24.8,,
2017-12-28T01:09:45.875Z,50,,,,24.8,,
2017-12-28T01:09:55.875Z,50,,,,24.8,,
2017-12-28T01:10:05.870Z,50,,,,24.8,,
2017-12-28T01:10:15.870Z,50,,,,24.8,,
2017-12-28T01:10:25.870Z,50,,,,24.7,,
2017-12-28T01:10:35.870Z,50,,,,24.7,,
2017-12-28T01:10:45.873Z,50,,,,24.8,,
2017-12-28T01:10:55.870Z,50,,,,24.7,,
2017-12-28T01:11:05.870Z,50,,,,24.7,,
2017-12-28T01:11:15.870Z,50,,,40.3,24.7,,
2017-12-28T01:11:25.871Z,50,,,,24.7,,
2017-12-28T01:11:35.870Z,50,,,,24.7,,
2017-12-28T01:11:45.871Z,50,,,,24.7,,
2017-12-28T01:11:55.870Z,50,,,,24.7,,
2017-12-28T01:12:06.075Z,50,,,,24.7,,
2017-12-28T01:12:15.870Z,50,,,,24.7,,
2017-12-28T01:12:25.870Z,50,,,,24.7,,
2017-12-28T01:12:35.870Z,50,,,,24.7,,
2017-12-28T01:12:45.870Z,50,,,,24.7,,
2017-12-28T01:12:55.870Z,50,,,40.2,24.7,,
2017-12-28T01:13:05.870Z,50,,,,24.7,,
2017-12-28T01:13:15.875Z,50,,,,24.7,,
2017-12-28T01:13:25.870Z,50,,,,24.7,,
2017-12-28T01:13:35.872Z,50,,,,24.7,,
2017-12-28T01:13:45.875Z,50,,,,24.7,,
2017-12-28T01:13:55.909Z,50,,,,24.7,,
2017-12-28T01:14:05.909Z,50,,,,24.5,,
2017-12-28T01:14:15.870Z,50,,,,24.7,,
2017-12-28T01:14:25.870Z,50,,,40.1,24.5,,
2017-12-28T01:14:35.870Z,50,,,,24.7,,
2017-12-28T01:14:45.870Z,50,,,,24.5,,
2017-12-28T01:14:55.870Z,50,,,,24.5,,
2017-12-28T01:15:05.871Z,50,,,,24.5,,
2017-12-28T01:15:15.870Z,50,,,,24.5,,
2017-12-28T01:15:25.870Z,50,,,,24.5,,
2017-12-28T01:15:35.885Z,50,,,,24.5,,
2017-12-28T01:15:45.870Z,50,,,,24.5,,
2017-12-28T01:15:55.886Z,50,,,,24.5,,
2017-12-28T01:16:05.875Z,50,,,40,24.5,,
2017-12-28T01:16:15.870Z,50,,,,24.5,,
2017-12-28T01:16:25.870Z,50,,,,24.5,,
2017-12-28T01:16:35.870Z,50,,,,24.5,,
2017-12-28T01:16:45.870Z,50,,,,24.5,,
2017-12-28T01:16:55.870Z,50,,,,24.5,,
2017-12-28T01:17:05.870Z,50,,,,24.5,,
2017-12-28T01:17:15.871Z,50,,,,24.5,,
2017-12-28T01:17:25.870Z,50,,,,24.5,,
2017-12-28T01:17:35.870Z,50,,,,24.5,,
2017-12-28T01:17:45.877Z,50,,,39.9,24.4,,
2017-12-28T01:17:55.870Z,50,,,40,24.4,,
2017-12-28T01:18:05.870Z,50,,,39.9,24.4,,
2017-12-28T01:18:15.870Z,50,,,,24.4,,
2017-12-28T01:18:25.870Z,50,,,,24.4,,
2017-12-28T01:18:35.876Z,50,,,,24.4,,
2017-12-28T01:18:45.873Z,50,,,,24.4,,
2017-12-28T01:18:55.870Z,50,,,,24.4,,
2017-12-28T01:19:05.870Z,50,,,,24.4,,
2017-12-28T01:19:15.870Z,50,,,,24.4,,
2017-12-28T01:19:25.870Z,50,,,39.8,24.4,,
2017-12-28T01:19:35.870Z,50,,,39.9,24.4,,
2017-12-28T01:19:45.874Z,50,,,39.8,24.4,,
2017-12-28T01:19:55.870Z,50,,,,24.4,,
2017-12-28T01:20:06.038Z,50,,,,24.4,,
2017-12-28T01:20:15.870Z,50,,,,24.4,,
2017-12-28T01:20:25.871Z,50,,,,24.4,,
2017-12-28T01:20:35.870Z,50,,,,24.4,,
2017-12-28T01:20:45.870Z,50,,,,24.4,,
2017-12-28T01:20:55.870Z,50,,,,24.4,,
2017-12-28T01:21:05.870Z,50,,,,24.4,,
2017-12-28T01:21:15.870Z,50,,,,24.4,,
