Time,HwTSet,PrimTSet,PrimT,ActPow,ChActive,HwTOutlet,HwActive
2017-11-11T01:54:43.685Z,52,,,,,25.4,
2017-11-11T01:54:53.685Z,52,,37.3,,,25.4,
2017-11-11T01:55:13.689Z,52,,,,,25.4,
2017-11-11T01:55:23.685Z,52,,,,,25.4,
2017-11-11T01:55:33.688Z,52,,,,,25.4,
2017-11-11T01:55:43.686Z,52,,,,,25.4,
2017-11-11T01:56:13.689Z,52,,,,,25.4,
2017-11-11T01:56:23.689Z,52,,,,,25.4,
2017-11-11T01:56:33.688Z,52,,,,,25.4,
2017-11-11T01:56:43.685Z,52,,,,,25.4,
2017-11-11T01:57:13.787Z,52,,37.2,,,25.4,
2017-11-11T01:57:23.686Z,52,,,,,25.4,
2017-11-11T01:57:33.687Z,52,,,,,25.4,
2017-11-11T01:57:43.685Z,52,,,,,25.4,
2017-11-11T01:58:13.692Z,52,,,,,25.4,
2017-11-11T01:58:23.687Z,52,,,,,25.4,
2017-11-11T01:58:33.685Z,52,,,,,25.3,
2017-11-11T01:58:43.685Z,52,,,,,25.3,
2017-11-11T01:58:53.685Z,52,,,,,25.3,
2017-11-11T01:59:13.687Z,52,,,,,25.3,
2017-11-11T01:59:23.687Z,52,,,,,25.3,
2017-11-11T01:59:33.690Z,52,,37.1,,,25.3,
2017-11-11T01:59:43.685Z,52,,,,,25.3,
2017-11-11T02:00:13.686Z,52,,,,,25.3,
2017-11-11T02:00:23.685Z,52,,,,,25.3,
2017-11-11T02:00:33.685Z,52,,,,,25.3,
2017-11-11T02:00:43.685Z,52,,,,,25.3,
2017-11-11T02:00:53.687Z,52,,,,,25.3,
2017-11-11T02:01:03.685Z,52,,,,,25.3,
2017-11-11T02:01:13.685Z,52,,37.1,,,25.3,
2017-11-11T02:01:23.685Z,52,,36.9,,,25.3,
2017-11-11T02:01:33.685Z,,,36.9,,,,
2017-11-11T02:01:43.685Z,52,,36.9,,,25.3,
2017-11-11T02:02:03.685Z,52,,,,,25.3,
