Time,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet,HwTSet,HwActive
2018-01-14T01:07:11.367Z,,1,59,31.8,32.8,50,0
2018-01-14T01:07:21.353Z,,,,30.5,32.8,50,
2018-01-14T01:07:31.353Z,,,,29.5,32.7,50,
2018-01-14T01:07:41.355Z,,0,5,29.3,32.7,50,0
2018-01-14T01:07:51.355Z,,1,59,29.2,32.7,50,0
2018-01-14T01:08:01.354Z,,,,,32.6,50,
2018-01-14T01:08:11.353Z,,,,,32.6,50,
2018-01-14T01:08:21.354Z,,,,,32.6,50,
2018-01-14T01:08:31.371Z,,,,,32.6,50,
2018-01-14T01:08:41.353Z,,,,,32.5,50,
2018-01-14T01:08:51.354Z,,,,,32.5,50,
2018-01-14T01:09:01.353Z,,,,,32.5,50,
2018-01-14T01:09:11.353Z,,,,,32.4,50,
2018-01-14T01:09:21.355Z,,,,,32.4,50,
2018-01-14T01:09:31.353Z,,,,,32.4,50,
2018-01-14T01:09:41.354Z,,,,,32.3,50,
2018-01-14T01:09:51.369Z,,,,,32.3,50,
2018-01-14T01:10:01.353Z,,,,,32.3,50,
2018-01-14T01:10:11.353Z,,,,,32.2,50,
2018-01-14T01:10:21.353Z,,,,29.3,32.2,50,
2018-01-14T01:10:31.354Z,,,,29.2,32.2,50,
2018-01-14T01:10:41.356Z,,,,,32.1,50,
2018-01-14T01:10:51.361Z,,,,,32.1,50,
2018-01-14T01:11:01.353Z,,,,29.3,32.1,50,
2018-01-14T01:11:11.354Z,,,,29.2,32,50,
2018-01-14T01:11:21.354Z,,,,29.3,32,50,
2018-01-14T01:11:31.353Z,,,,,32,50,
2018-01-14T01:11:41.365Z,,,,29.4,31.9,50,
2018-01-14T01:11:51.353Z,,,,29.6,31.9,50,
2018-01-14T01:12:01.353Z,,,,30,31.8,50,
2018-01-14T01:12:11.359Z,,,,30.2,31.8,50,
2018-01-14T01:12:21.353Z,,,,30.5,31.8,50,
2018-01-14T01:12:31.365Z,,,,31.1,31.8,50,
2018-01-14T01:12:41.370Z,,,,31.3,31.6,50,
2018-01-14T01:12:51.353Z,,,,31.7,31.6,50,
2018-01-14T01:13:01.354Z,,,,32,31.6,50,
2018-01-14T01:13:11.353Z,,,,32.4,31.5,50,
2018-01-14T01:13:21.353Z,,,,32.8,31.5,50,
2018-01-14T01:13:31.354Z,,,,33.2,31.5,50,
2018-01-14T01:13:41.353Z,,,,33.5,31.4,50,
2018-01-14T01:13:51.353Z,,,,33.8,31.4,50,
2018-01-14T01:14:01.356Z,,,,34,31.4,50,
2018-01-14T01:14:11.353Z,,,,34.3,31.3,50,
2018-01-14T01:14:21.353Z,,,,34.6,31.3,50,
2018-01-14T01:14:31.358Z,,,,34.9,31.3,50,
2018-01-14T01:14:41.353Z,,,,35.1,31.2,50,
2018-01-14T01:14:51.354Z,,,,35.2,31.2,50,
2018-01-14T01:15:01.353Z,,,,35.4,31.2,50,
2018-01-14T01:15:11.353Z,,,,,31,50,
2018-01-14T01:15:21.354Z,,,,,31,50,
2018-01-14T01:15:31.353Z,,,,,31,50,
2018-01-14T01:15:41.353Z,,,,,30.9,50,
2018-01-14T01:15:51.353Z,,,,35.3,30.9,50,
2018-01-14T01:16:01.354Z,,,,,30.9,50,
2018-01-14T01:16:11.371Z,,,,35.2,30.9,50,
2018-01-14T01:16:21.354Z,,,,,30.8,50,
2018-01-14T01:16:31.358Z,,,,34.9,30.8,50,
2018-01-14T01:16:41.360Z,,,,,30.8,50,
2018-01-14T01:16:51.368Z,,,,34.8,30.7,50,
2018-01-14T01:17:01.353Z,,,,34.7,30.7,50,
