Time,HwTOutlet,HwTSet,ActPow,PrimTSet,ChActive,PrimT,HwActive
2017-11-19T00:53:23.382Z,28.9,52,,,,,
2017-11-19T00:53:33.385Z,28.9,52,,,,33.8,
2017-11-19T00:53:43.382Z,28.9,52,,,,,
2017-11-19T00:54:03.462Z,28.9,52,,,,,
2017-11-19T00:54:23.383Z,28.9,52,,,,,
2017-11-19T00:54:33.382Z,28.9,52,,,,,
2017-11-19T00:54:43.382Z,28.9,52,,,,,
2017-11-19T00:54:53.383Z,28.9,52,,,,,
2017-11-19T00:55:03.463Z,28.7,52,,,,,
2017-11-19T00:55:23.382Z,28.7,52,,,,,
2017-11-19T00:55:33.383Z,28.7,52,,,,33.7,
2017-11-19T00:55:43.382Z,28.7,52,,,,,
2017-11-19T00:56:03.463Z,28.7,52,,,,,
2017-11-19T00:56:23.385Z,28.7,52,,,,,
2017-11-19T00:56:33.389Z,28.7,52,,,,,
2017-11-19T00:56:43.389Z,,,44,,1,34.4,0
2017-11-19T00:56:53.387Z,28.7,52,40,,,37.4,
2017-11-19T00:57:03.462Z,,,32,,,40.1,
2017-11-19T00:57:13.382Z,28.7,52,30,,,37.8,
2017-11-19T00:57:23.382Z,28.6,52,29,,,37.4,
2017-11-19T00:57:33.382Z,28.6,52,30,,,34.2,
2017-11-19T00:57:43.387Z,28.7,52,29,,,33.8,
2017-11-19T00:57:53.382Z,28.6,52,30,,,33.3,
2017-11-19T00:58:03.462Z,28.6,52,29,,,,
2017-11-19T00:58:23.382Z,28.6,52,,,,33.7,
2017-11-19T00:58:33.384Z,28.6,52,,,,34.5,
2017-11-19T00:58:43.382Z,28.6,52,30,,,34.9,
2017-11-19T00:58:53.384Z,28.6,52,29,,,35.1,
2017-11-19T00:59:03.477Z,,,,,,35.2,
2017-11-19T00:59:13.382Z,28.6,52,,,,,
2017-11-19T00:59:23.382Z,28.6,52,,,,35.3,
2017-11-19T00:59:33.382Z,28.6,52,,,,35.8,
2017-11-19T00:59:43.382Z,28.6,52,,,,36,
2017-11-19T00:59:53.383Z,,,29,,,36.2,
2017-11-19T01:00:03.465Z,28.6,52,,,,,
2017-11-19T01:00:13.382Z,,,,,,36.4,
2017-11-19T01:00:23.382Z,28.6,52,30,,,36.6,
2017-11-19T01:00:33.382Z,28.6,52,30,,,37.1,
2017-11-19T01:00:43.384Z,28.6,52,,,,37.2,
2017-11-19T01:00:53.385Z,28.6,52,29,,,37.3,
