Time,HwActive,PrimTSet,HwTSet,HwTOutlet,ActPow,ChActive,PrimT
2017-11-18T01:35:13.417Z,0,,52,34.8,0,0,35.5
2017-11-18T01:35:23.449Z,,,,,,,34.9
2017-11-18T01:35:33.417Z,,,52,35.1,,,
2017-11-18T01:35:43.417Z,0,0,52,34.9,0,0,34.8
2017-11-18T01:35:53.422Z,,,52,34.9,,,
2017-11-18T01:36:03.497Z,,,52,34.7,,,
2017-11-18T01:36:13.417Z,0,58,52,34.7,,2,
2017-11-18T01:36:23.417Z,,,,,,,34.7
2017-11-18T01:36:33.417Z,,,52,34.6,,,
2017-11-18T01:36:53.417Z,,,52,34.5,,,
2017-11-18T01:37:03.497Z,,,52,34.4,,,
2017-11-18T01:37:13.418Z,,,52,34.3,,,
2017-11-18T01:37:23.417Z,,,52,34.2,,,
2017-11-18T01:37:43.420Z,,,52,34.2,,,
2017-11-18T01:38:03.458Z,,,52,34,,,34.6
2017-11-18T01:38:23.419Z,,,52,33.9,,,
2017-11-18T01:38:43.417Z,,,52,33.8,,,
2017-11-18T01:39:03.497Z,,,52,33.7,,,
