Time,HwTSet,PrimTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimT
2017-12-18T01:15:40.206Z,50,,,,27.3,,
2017-12-18T01:15:50.202Z,50,,,,27.3,,
2017-12-18T01:16:00.203Z,50,,,,27.3,,
2017-12-18T01:16:10.202Z,50,,,,27.3,,
2017-12-18T01:16:20.205Z,50,,,,27.3,,
2017-12-18T01:16:30.202Z,50,,,,27.3,,
2017-12-18T01:16:40.202Z,50,,,,27.3,,
2017-12-18T01:16:50.203Z,50,,,,27.3,,
2017-12-18T01:17:00.202Z,50,,,,27.3,,
2017-12-18T01:17:10.202Z,50,,,,27.3,,
2017-12-18T01:17:20.202Z,50,,,,27.3,,30.7
2017-12-18T01:17:30.202Z,50,,,,27.2,,
2017-12-18T01:17:40.203Z,50,,,,27.3,,
2017-12-18T01:17:50.202Z,50,,,,27.2,,
2017-12-18T01:18:00.202Z,50,,,,27.2,,
2017-12-18T01:18:10.202Z,50,,,,27.2,,
2017-12-18T01:18:20.202Z,50,,,,27.2,,
2017-12-18T01:18:30.202Z,50,,,,27.2,,
