Time,ChActive,HwTSet,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet
2018-02-11T00:55:38.606Z,,50,29.6,,,,
2018-02-11T00:55:58.606Z,,50,29.6,,,,
2018-02-11T00:56:08.606Z,,50,29.6,,,,
2018-02-11T00:56:28.606Z,,50,29.6,,,,
2018-02-11T00:56:38.605Z,0,50,29.6,,,0,5
2018-02-11T00:56:48.606Z,1,,,37.6,,0,59
2018-02-11T00:56:58.607Z,,50,29.6,,,,
2018-02-11T00:57:08.606Z,0,50,29.6,,,0,5
2018-02-11T00:57:18.615Z,1,,,,,0,59
2018-02-11T00:57:28.606Z,,50,29.6,,,,
2018-02-11T00:57:38.606Z,,50,29.6,,,,
2018-02-11T00:57:58.606Z,,50,29.6,,,,
2018-02-11T00:58:08.606Z,0,,,37.5,,0,5
2018-02-11T00:58:18.615Z,,50,29.6,37.6,,,
2018-02-11T00:58:28.606Z,,50,29.6,37.5,,,
2018-02-11T00:58:38.606Z,1,,,,,0,59
2018-02-11T00:58:48.606Z,,50,29.6,,,,
2018-02-11T00:58:58.606Z,0,,,37.5,0,0,5
2018-02-11T00:59:08.606Z,,50,29.6,,,,
2018-02-11T00:59:18.606Z,,50,29.6,,,,
2018-02-11T00:59:28.609Z,,50,29.6,,,,
2018-02-11T00:59:38.606Z,,,,37.4,,,
2018-02-11T00:59:48.606Z,,50,29.6,,,,
2018-02-11T00:59:58.606Z,,50,29.6,,,,
2018-02-11T01:00:18.606Z,,50,29.6,,,,
2018-02-11T01:00:28.606Z,,50,29.6,,,,
2018-02-11T01:00:38.606Z,,50,29.6,,,,
2018-02-11T01:00:58.606Z,,50,29.6,37.3,,,
2018-02-11T01:01:08.606Z,,50,29.6,,,,
2018-02-11T01:01:28.606Z,,50,29.6,,,,
2018-02-11T01:01:38.606Z,,50,29.6,,,,
2018-02-11T01:01:58.606Z,,50,29.6,37.2,,,
2018-02-11T01:02:08.606Z,,50,29.6,,,,
2018-02-11T01:02:28.606Z,,50,29.6,,,,
2018-02-11T01:02:38.606Z,,50,29.6,,,,
2018-02-11T01:02:58.606Z,,50,29.5,,,,
2018-02-11T01:03:08.606Z,,50,29.6,,,,
2018-02-11T01:03:18.616Z,,50,29.6,37.1,,,
2018-02-11T01:03:28.606Z,1,50,29.6,,,0,59
2018-02-11T01:03:48.606Z,,50,29.5,,,,
2018-02-11T01:03:58.606Z,,50,29.5,,,,
2018-02-11T01:04:18.607Z,,50,29.6,36.9,,,
2018-02-11T01:04:28.606Z,,50,29.5,37.1,,,
2018-02-11T01:04:38.606Z,,,,36.9,,,
2018-02-11T01:04:48.606Z,,50,29.5,,,,
2018-02-11T01:04:58.606Z,0,50,34.9,36.8,,2,0
2018-02-11T01:05:08.606Z,0,50,37.2,38.5,42,0,
2018-02-11T01:05:18.612Z,0,50,37.6,38.2,0,0,
2018-02-11T01:05:28.606Z,,50,37.5,38,,,
2018-02-11T01:05:38.606Z,,50,37.4,38,,,
2018-02-11T01:05:48.606Z,,,,37.9,,,
2018-02-11T01:05:58.605Z,,50,37.3,,,,
2018-02-11T01:06:08.606Z,,50,37.2,,,,
2018-02-11T01:06:18.608Z,1,,,,,0,59
2018-02-11T01:06:28.606Z,,50,37.1,,,,
2018-02-11T01:06:38.606Z,0,50,37.3,37.7,,2,0
2018-02-11T01:06:48.606Z,,50,38,38.4,36,,
2018-02-11T01:06:58.606Z,,50,39.9,40.1,30,,
2018-02-11T01:07:08.606Z,,50,41.5,41.7,35,,
2018-02-11T01:07:18.606Z,0,50,42.9,43.4,0,0,
2018-02-11T01:07:28.618Z,0,50,43.3,42.1,,0,
2018-02-11T01:07:38.606Z,,50,42.7,41.5,,,
2018-02-11T01:07:48.608Z,0,50,41.8,41.2,,2,
2018-02-11T01:07:58.606Z,,,,41.2,41,,
2018-02-11T01:08:08.606Z,0,50,41.9,42.8,0,0,
2018-02-11T01:08:18.606Z,0,50,42,42.3,,0,
2018-02-11T01:08:28.606Z,,50,41.9,42,,,
2018-02-11T01:08:38.606Z,0,50,41.8,42.1,,2,
2018-02-11T01:08:48.607Z,0,50,40.4,41.5,0,0,
2018-02-11T01:08:58.606Z,0,50,40.1,41,,0,
2018-02-11T01:09:08.606Z,,,,40.9,,,
2018-02-11T01:09:18.670Z,,50,39.9,,,,
2018-02-11T01:09:28.608Z,,50,39.8,40.8,,,
2018-02-11T01:09:48.643Z,1,50,39.6,,,0,59
2018-02-11T01:09:58.634Z,1,50,39.6,43.4,41,0,
2018-02-11T01:10:08.607Z,,50,39.5,44.9,29,,
2018-02-11T01:10:18.612Z,,50,39.4,40.6,,,
2018-02-11T01:10:28.606Z,,50,39.3,38.2,30,,
2018-02-11T01:10:38.606Z,,50,39.3,36.2,29,,
2018-02-11T01:10:48.606Z,,50,39.2,35.1,29,,
2018-02-11T01:10:58.652Z,,50,39.1,34.9,30,,
2018-02-11T01:11:08.606Z,,,,35.5,29,,
2018-02-11T01:11:18.606Z,,50,38.9,35.9,30,,
2018-02-11T01:11:28.606Z,,50,38.8,36.2,29,,
2018-02-11T01:11:38.606Z,,,,36.4,,,
2018-02-11T01:11:48.606Z,,50,38.6,36.5,,,
2018-02-11T01:11:58.605Z,,50,38.5,,,,
2018-02-11T01:12:08.605Z,,,,36.8,30,,
2018-02-11T01:12:18.606Z,,50,38.5,37.1,29,,
2018-02-11T01:12:28.606Z,,50,38.3,37.5,,,
2018-02-11T01:12:38.605Z,,50,38.2,,,,
2018-02-11T01:12:48.605Z,,50,38.2,37.9,30,,
2018-02-11T01:12:58.605Z,,,,38.1,29,,
2018-02-11T01:13:08.605Z,,50,38,38.3,,,
2018-02-11T01:13:18.606Z,,50,37.9,,,,
2018-02-11T01:13:28.606Z,,50,37.9,38.7,29,,
2018-02-11T01:13:38.606Z,,50,37.8,38.8,,,
2018-02-11T01:13:48.606Z,,,,39.1,,,
2018-02-11T01:13:58.606Z,,50,37.7,39.3,,,
2018-02-11T01:14:08.606Z,,50,37.6,,,,
2018-02-11T01:14:18.613Z,,,,39.7,30,,
2018-02-11T01:14:28.605Z,,50,37.4,39.8,29,,
2018-02-11T01:14:38.605Z,,50,37.4,39.9,,,
2018-02-11T01:14:48.606Z,,,,40,30,,
2018-02-11T01:14:58.613Z,,50,37.2,40.2,,,
2018-02-11T01:15:08.606Z,,50,37.2,,,,
2018-02-11T01:15:18.615Z,,,,40.4,29,,
2018-02-11T01:15:28.607Z,,50,36.9,40.6,,,
2018-02-11T01:15:38.606Z,,50,36.9,40.7,0,,
2018-02-11T01:15:48.605Z,1,50,36.9,38.6,,0,
2018-02-11T01:15:58.606Z,,50,36.7,36.9,,,
2018-02-11T01:16:08.605Z,,50,36.7,36.1,,,
2018-02-11T01:16:18.617Z,,,,35.9,,,
2018-02-11T01:16:28.606Z,,50,36.6,,,,
2018-02-11T01:16:38.606Z,,50,36.5,,,,
2018-02-11T01:16:48.606Z,,,,35.8,,,
2018-02-11T01:16:58.606Z,,50,36.4,,,,
2018-02-11T01:17:08.605Z,,50,36.4,,,,
2018-02-11T01:17:18.605Z,,,,35.6,,,
2018-02-11T01:17:28.606Z,,50,36.2,35.5,,,
2018-02-11T01:17:38.605Z,,50,36.2,,,,
2018-02-11T01:17:48.605Z,,,,35.4,,,
2018-02-11T01:17:58.605Z,,50,36.1,,,,
2018-02-11T01:18:08.606Z,,50,36,,,,
2018-02-11T01:18:28.606Z,,50,35.9,,,,
2018-02-11T01:18:38.606Z,,50,35.8,35.3,,,
2018-02-11T01:18:58.605Z,,50,35.7,,,,
2018-02-11T01:19:08.606Z,,50,35.7,,,,
2018-02-11T01:19:28.606Z,,50,35.6,,,,
2018-02-11T01:19:38.606Z,,50,35.5,,,,
2018-02-11T01:19:58.605Z,,50,35.4,35.2,,,
2018-02-11T01:20:08.605Z,,50,35.4,,,,
2018-02-11T01:20:28.605Z,,50,35.3,,,,
2018-02-11T01:20:38.605Z,,50,35.2,,,,
2018-02-11T01:20:48.606Z,,,,35.3,,,
2018-02-11T01:20:58.606Z,,50,35.1,,,,
2018-02-11T01:21:08.606Z,,50,35.1,,,,
2018-02-11T01:21:28.606Z,,50,34.9,,,,
2018-02-11T01:21:38.606Z,,50,34.8,,,,
2018-02-11T01:21:58.605Z,,50,34.7,,,,
2018-02-11T01:22:08.605Z,,50,34.7,,,,
2018-02-11T01:22:28.605Z,,50,34.6,,,,
2018-02-11T01:22:38.605Z,,50,34.6,,,,
2018-02-11T01:22:48.605Z,,,,35.4,,,
2018-02-11T01:22:58.606Z,,50,34.5,,,,
2018-02-11T01:23:08.605Z,,50,34.4,,,,
2018-02-11T01:23:28.605Z,,50,34.3,,,,
2018-02-11T01:23:38.608Z,,50,34.3,,,,
2018-02-11T01:23:58.605Z,,50,34.2,,,,
2018-02-11T01:24:08.606Z,,50,34.2,,,,
2018-02-11T01:24:18.613Z,,,,35.5,,,
2018-02-11T01:24:28.605Z,,50,34.1,,,,
2018-02-11T01:24:38.605Z,,50,34,,,,
2018-02-11T01:24:58.605Z,,50,34,,,,
2018-02-11T01:25:08.605Z,,50,33.9,,,,
2018-02-11T01:25:28.605Z,,50,33.8,35.6,,,
2018-02-11T01:25:38.605Z,,50,33.8,,,,
2018-02-11T01:25:58.605Z,,50,33.7,,,,
2018-02-11T01:26:08.624Z,,50,33.7,,,,
2018-02-11T01:26:28.606Z,0,50,33.6,35.7,,0,5
2018-02-11T01:26:38.605Z,,50,33.6,,,,
2018-02-11T01:26:48.605Z,,50,33.5,,,,
2018-02-11T01:26:58.607Z,1,50,33.5,,,0,59
2018-02-11T01:27:08.605Z,0,,,,,0,5
2018-02-11T01:27:18.612Z,,50,33.4,,,,
2018-02-11T01:27:28.608Z,,50,33.4,,,,
2018-02-11T01:27:38.607Z,,50,33.4,,,,
2018-02-11T01:27:48.606Z,,,,35.8,,,
2018-02-11T01:27:58.607Z,,50,33.3,,,,
2018-02-11T01:28:08.605Z,,50,33.2,,,,
2018-02-11T01:28:28.606Z,,50,33.2,,,,
2018-02-11T01:28:38.605Z,,50,33.2,,,,
2018-02-11T01:28:58.605Z,,50,33.1,,,,
2018-02-11T01:29:08.605Z,,50,33.1,,,,
2018-02-11T01:29:18.613Z,,,,35.9,,,
2018-02-11T01:29:28.605Z,,50,32.9,,,,
2018-02-11T01:29:38.605Z,,50,32.8,,,,
2018-02-11T01:29:58.605Z,,50,32.8,,,,
2018-02-11T01:30:08.605Z,,50,32.8,,,,
2018-02-11T01:30:18.613Z,1,50,32.7,,,0,59
2018-02-11T01:30:28.605Z,,50,32.7,36,,,
2018-02-11T01:30:48.605Z,,50,32.6,,,,
2018-02-11T01:30:58.605Z,,50,32.6,,,,
2018-02-11T01:31:18.605Z,,50,32.5,,,,
2018-02-11T01:31:28.605Z,,50,32.5,36.1,,,
2018-02-11T01:31:38.606Z,,50,32.5,,,,
2018-02-11T01:31:58.607Z,,50,32.4,,,,
2018-02-11T01:32:08.605Z,,50,32.4,,,,
2018-02-11T01:32:28.607Z,,50,32.3,,,,
2018-02-11T01:32:38.605Z,,50,32.3,,,,
2018-02-11T01:32:58.605Z,,50,32.2,36.2,,,
2018-02-11T01:33:08.605Z,,50,32.2,,,,
2018-02-11T01:33:28.607Z,,50,32.2,,,,
2018-02-11T01:33:38.605Z,,50,32.1,,,,
