Time,ActPow,HwTOutlet,HwTSet,PrimT,HwActive,ChActive,PrimTSet
2018-01-24T00:46:29.080Z,,28.3,50,34.5,,,
2018-01-24T00:46:39.080Z,30,28.3,50,34.7,,,
2018-01-24T00:46:49.081Z,29,28.3,50,34.9,,,
2018-01-24T00:46:59.080Z,,28.3,50,35.2,,,
2018-01-24T00:47:09.080Z,,28.3,50,35.3,,,
2018-01-24T00:47:19.080Z,30,28.3,50,35.6,,,
2018-01-24T00:47:29.083Z,29,28.3,50,35.8,,,
2018-01-24T00:47:39.080Z,,28.3,50,36,,,
2018-01-24T00:47:49.080Z,30,28.3,50,36.2,,,
2018-01-24T00:47:59.080Z,29,28.3,50,36.3,,,
2018-01-24T00:48:09.080Z,,28.3,50,36.5,,,
2018-01-24T00:48:19.080Z,,28.3,50,36.7,,,
2018-01-24T00:48:29.080Z,,28.3,50,36.8,,,
2018-01-24T00:48:39.080Z,29,28.3,50,37.1,,,
2018-01-24T00:48:49.080Z,,28.3,50,37.2,,,
2018-01-24T00:48:59.080Z,,28.3,50,37.4,,,
2018-01-24T00:49:09.081Z,,28.3,50,37.6,,,
2018-01-24T00:49:19.103Z,,28.3,50,37.7,,,
2018-01-24T00:49:29.084Z,,28.3,50,37.9,,,
2018-01-24T00:49:39.081Z,,28.3,50,38,,,
2018-01-24T00:49:49.081Z,30,28.3,50,38.2,,,
2018-01-24T00:49:59.080Z,29,28.3,50,38.3,,,
2018-01-24T00:50:09.080Z,,28.3,50,38.5,,,
2018-01-24T00:50:19.080Z,,28.3,50,38.7,,,
2018-01-24T00:50:29.080Z,,28.3,50,38.8,,,
2018-01-24T00:50:39.080Z,,28.4,50,39.1,,,
2018-01-24T00:50:49.080Z,0,28.4,50,37.9,0,2,
2018-01-24T00:50:59.080Z,,28.4,50,35.9,,,
2018-01-24T00:51:09.080Z,,28.4,50,34.9,,,
2018-01-24T00:51:19.080Z,,28.4,50,34.4,,,
2018-01-24T00:51:29.080Z,,28.4,50,34.3,,,
2018-01-24T00:51:39.081Z,,28.4,50,,,,
2018-01-24T00:51:49.080Z,,28.4,50,,,,
2018-01-24T00:51:59.080Z,,28.4,50,,,,
2018-01-24T00:52:09.080Z,,28.4,50,34.2,,,
2018-01-24T00:52:19.080Z,,28.4,50,34.1,,,
2018-01-24T00:52:29.080Z,,28.4,50,,,,
2018-01-24T00:52:39.080Z,,28.4,50,33.9,,,
2018-01-24T00:52:49.080Z,,28.4,50,33.9,,,
2018-01-24T00:52:59.079Z,,28.4,50,34,,,
2018-01-24T00:53:09.081Z,,28.4,50,,,,
2018-01-24T00:53:19.080Z,,28.5,50,33.9,,,
2018-01-24T00:53:29.080Z,,28.5,50,,,,
2018-01-24T00:53:39.081Z,,28.5,50,,,,
2018-01-24T00:53:49.080Z,,28.5,50,33.8,,,
2018-01-24T00:53:59.080Z,,28.5,50,,,,
2018-01-24T00:54:09.080Z,,28.5,50,,,,
2018-01-24T00:54:19.080Z,,28.5,50,,,,
2018-01-24T00:54:29.080Z,,28.5,50,,,,
2018-01-24T00:54:39.079Z,,28.5,50,,,,
2018-01-24T00:54:49.080Z,,28.5,50,,,,
2018-01-24T00:54:59.080Z,,28.5,50,,,,
2018-01-24T00:55:09.080Z,,28.5,50,,,,
2018-01-24T00:55:19.080Z,,28.5,50,,,,
2018-01-24T00:55:29.080Z,,28.5,50,,,,
2018-01-24T00:55:39.082Z,,28.5,50,,,,
2018-01-24T00:55:49.080Z,,28.5,50,,,,
2018-01-24T00:55:59.080Z,,28.5,50,,,,
2018-01-24T00:56:09.080Z,,28.5,50,,,,
2018-01-24T00:56:19.080Z,,28.5,50,,,,
2018-01-24T00:56:29.080Z,,28.5,50,,,,
2018-01-24T00:56:39.080Z,,28.5,50,,,,
2018-01-24T00:56:49.080Z,,28.5,50,33.9,,,
2018-01-24T00:56:59.080Z,,28.5,50,,,,
2018-01-24T00:57:09.085Z,,28.5,50,,,,
2018-01-24T00:57:19.080Z,,28.5,50,,,,
2018-01-24T00:57:29.080Z,,28.5,50,,,,
2018-01-24T00:57:39.080Z,,28.6,50,34,,,
2018-01-24T00:57:49.083Z,,28.5,50,,,,
2018-01-24T00:57:59.080Z,,28.5,50,,,,
2018-01-24T00:58:09.080Z,,28.5,50,,,,
2018-01-24T00:58:19.080Z,,28.6,50,34.1,,,
2018-01-24T00:58:29.080Z,,28.6,50,,,,
2018-01-24T00:58:39.080Z,,28.5,50,,,,
2018-01-24T00:58:49.081Z,,28.6,50,,,,
2018-01-24T00:58:59.080Z,,28.6,50,,,,
2018-01-24T00:59:09.080Z,,28.6,50,,,,
2018-01-24T00:59:19.080Z,,28.6,50,,,,
2018-01-24T00:59:29.080Z,,28.5,50,34.2,,,
2018-01-24T00:59:39.080Z,,28.6,50,,,,
2018-01-24T00:59:49.080Z,,28.6,50,,,,
2018-01-24T00:59:59.080Z,,28.6,50,,,,
2018-01-24T01:00:09.080Z,,28.6,50,,,,
2018-01-24T01:00:19.080Z,,28.6,50,,,,
2018-01-24T01:00:29.080Z,,28.6,50,,,,
2018-01-24T01:00:39.080Z,,28.5,50,,,,
2018-01-24T01:00:49.082Z,,28.6,50,,,,
2018-01-24T01:00:59.080Z,,28.5,50,,,,
2018-01-24T01:01:09.080Z,,28.6,50,,,,
2018-01-24T01:01:19.083Z,,28.5,50,,,,
2018-01-24T01:01:29.080Z,,28.6,50,,,,
2018-01-24T01:01:39.080Z,,28.6,50,,,,
2018-01-24T01:01:49.082Z,,28.6,50,,,,
2018-01-24T01:01:59.080Z,,28.6,50,,,,
2018-01-24T01:02:09.082Z,,28.5,50,,,,
2018-01-24T01:02:19.081Z,,28.6,50,,,,
2018-01-24T01:02:29.080Z,,28.5,50,,,,
2018-01-24T01:02:39.080Z,,28.5,50,,,,
2018-01-24T01:02:49.080Z,,28.5,50,34.1,,,
2018-01-24T01:02:59.080Z,,28.5,50,34.2,,,
2018-01-24T01:03:09.082Z,,28.5,50,34.1,,,
2018-01-24T01:03:19.089Z,,28.5,50,,,,
2018-01-24T01:03:29.080Z,,28.5,50,,,,
2018-01-24T01:03:39.081Z,,28.5,50,,,,
2018-01-24T01:03:49.088Z,,28.5,50,,,,
2018-01-24T01:03:59.082Z,,28.5,50,,,,
2018-01-24T01:04:09.084Z,,28.5,50,,,,
2018-01-24T01:04:19.086Z,,28.5,50,,,,
2018-01-24T01:04:29.081Z,,28.5,50,,,,
2018-01-24T01:04:39.142Z,,28.5,50,,,,
2018-01-24T01:04:49.123Z,,28.5,50,,,,
2018-01-24T01:04:59.082Z,,28.5,50,,,,
2018-01-24T01:05:09.083Z,,28.5,50,34,,,
2018-01-24T01:05:19.093Z,,28.5,50,,,,
2018-01-24T01:05:29.080Z,,28.5,50,,,,
2018-01-24T01:05:39.082Z,,28.5,50,,,,
2018-01-24T01:05:49.085Z,,28.5,50,,,,
2018-01-24T01:05:59.080Z,,28.5,50,,,,
2018-01-24T01:06:09.080Z,,28.5,50,,,,
2018-01-24T01:06:19.088Z,,28.5,50,,,,
2018-01-24T01:06:29.082Z,,28.5,50,,,,
2018-01-24T01:06:39.085Z,,28.5,50,34,,,
2018-01-24T01:06:49.080Z,,28.5,50,34,,,
2018-01-24T01:06:59.084Z,,28.5,50,33.9,,,
2018-01-24T01:07:09.082Z,,28.5,50,,,,
2018-01-24T01:07:19.081Z,,28.5,50,,,,
2018-01-24T01:07:29.080Z,,28.5,50,,,,
2018-01-24T01:07:39.080Z,,28.5,50,,,,
2018-01-24T01:07:49.080Z,,28.5,50,,,,
2018-01-24T01:07:59.085Z,,28.5,50,,,,
2018-01-24T01:08:09.080Z,,28.5,50,,,,
2018-01-24T01:08:19.080Z,,28.5,50,33.8,,,
2018-01-24T01:08:29.081Z,,28.5,50,,,,
2018-01-24T01:08:39.080Z,,28.5,50,,0,2,
2018-01-24T01:08:49.091Z,35,28.5,50,39.2,,,
2018-01-24T01:08:59.086Z,30,28.4,50,38.9,,,
2018-01-24T01:09:09.080Z,29,28.5,50,37.6,,,
2018-01-24T01:09:19.080Z,30,28.4,50,35.9,,,
2018-01-24T01:09:29.080Z,29,28.4,50,34.9,,,
2018-01-24T01:09:39.084Z,30,28.4,50,34.5,,,
2018-01-24T01:09:49.080Z,,28.5,50,34.7,,,
2018-01-24T01:09:59.080Z,29,28.4,50,35.2,,,
2018-01-24T01:10:09.084Z,,28.4,50,35.7,,,
2018-01-24T01:10:19.080Z,,28.5,50,36,,,
2018-01-24T01:10:29.080Z,30,28.5,50,,,,
2018-01-24T01:10:39.080Z,29,28.4,50,36.2,,,
2018-01-24T01:10:49.080Z,,28.5,50,36.4,,,
2018-01-24T01:10:59.080Z,,28.4,50,36.6,,,
2018-01-24T01:11:09.080Z,30,28.5,50,36.7,,,
2018-01-24T01:11:19.080Z,29,28.5,50,37.1,,,
2018-01-24T01:11:29.081Z,,28.5,50,37.2,,,
2018-01-24T01:11:39.080Z,,28.5,50,37.4,,,
