Time,HwActive,HwTSet,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet
2018-01-31T00:55:08.901Z,0,50,,2,59,,28.5
2018-01-31T00:55:18.901Z,,50,,,,,28.5
2018-01-31T00:55:28.901Z,,50,,,,,28.5
2018-01-31T00:55:48.901Z,,50,,,,,28.5
2018-01-31T00:55:58.901Z,,50,,,,,28.5
2018-01-31T00:56:18.901Z,0,50,,0,5,,28.5
2018-01-31T00:56:38.902Z,0,50,,2,59,,28.5
2018-01-31T00:56:48.901Z,,50,,,,32.7,28.5
2018-01-31T00:56:58.901Z,,50,,,,,28.4
2018-01-31T00:57:18.902Z,,50,,,,,28.4
2018-01-31T00:57:28.900Z,,50,,,,,28.4
2018-01-31T00:57:48.901Z,,50,,,,,28.4
2018-01-31T00:57:58.901Z,,50,,,,,28.4
2018-01-31T00:58:18.904Z,,50,,,,,28.4
2018-01-31T00:58:28.906Z,,50,,,,,28.4
2018-01-31T00:58:48.900Z,,50,,,,,28.4
2018-01-31T00:58:58.901Z,,50,,,,,28.4
2018-01-31T00:59:18.964Z,,50,,,,32.6,28.4
2018-01-31T00:59:28.959Z,,50,,,,,28.4
2018-01-31T00:59:48.901Z,,50,,,,,28.4
2018-01-31T00:59:58.925Z,,50,,,,,28.4
2018-01-31T01:00:18.900Z,,50,,,,,28.3
2018-01-31T01:00:28.903Z,,50,,,,,28.3
2018-01-31T01:00:48.906Z,,50,,,,,28.3
2018-01-31T01:00:58.905Z,,50,,,,,28.3
2018-01-31T01:01:18.901Z,,50,,,,,28.3
2018-01-31T01:01:28.901Z,,50,,,,,28.3
2018-01-31T01:01:38.901Z,,,,,,32.5,
2018-01-31T01:01:48.901Z,,50,,,,,28.3
2018-01-31T01:01:58.901Z,,50,,,,,28.3
2018-01-31T01:02:18.906Z,,50,,,,,28.3
2018-01-31T01:02:28.901Z,,50,,,,,28.3
2018-01-31T01:02:48.900Z,,50,,,,,28.3
2018-01-31T01:02:58.900Z,,50,,,,,28.3
2018-01-31T01:03:18.900Z,,50,,,,,28.3
2018-01-31T01:03:28.900Z,,50,,,,,28.1
2018-01-31T01:03:48.900Z,,50,,,,,28.1
2018-01-31T01:03:58.901Z,,50,,,,,28.1
2018-01-31T01:04:18.901Z,,50,,,,,28.1
2018-01-31T01:04:28.901Z,,50,,,,,28.1
2018-01-31T01:04:38.900Z,,,,,,32.4,
2018-01-31T01:04:48.901Z,,50,,,,,28.1
2018-01-31T01:04:58.901Z,,50,,,,,28.1
2018-01-31T01:05:18.901Z,,50,,,,,28.1
2018-01-31T01:05:28.900Z,,50,,,,,28.1
2018-01-31T01:05:48.901Z,,50,,,,,28.1
2018-01-31T01:05:58.900Z,,50,,,,,28.1
2018-01-31T01:06:18.901Z,,50,,,,,28.1
2018-01-31T01:06:28.901Z,,50,,,,,28
2018-01-31T01:06:38.901Z,0,50,45,2,,,28
2018-01-31T01:06:48.901Z,,50,35,,,37.9,28
2018-01-31T01:06:58.901Z,,50,29,,,36.9,28
2018-01-31T01:07:08.901Z,,50,,,,35.4,28
2018-01-31T01:07:18.900Z,,50,30,,,32.9,28
2018-01-31T01:07:28.900Z,,,29,,,32.2,
2018-01-31T01:07:38.900Z,,50,,,,32.1,28
2018-01-31T01:07:48.903Z,,50,,,,,28
2018-01-31T01:07:58.900Z,,50,29,,,32.8,28
2018-01-31T01:08:08.900Z,,,30,,,33.2,
2018-01-31T01:08:18.900Z,,50,29,,,33.5,28
2018-01-31T01:08:28.901Z,,50,,,,,28
2018-01-31T01:08:38.900Z,,,30,,,33.7,
2018-01-31T01:08:48.900Z,,50,29,,,33.9,28
2018-01-31T01:08:58.900Z,,,30,,,34.1,
2018-01-31T01:09:08.901Z,,50,29,,,34.3,28
2018-01-31T01:09:18.901Z,,50,30,,,34.5,28
2018-01-31T01:09:28.900Z,,50,,,,,28
2018-01-31T01:09:38.905Z,,50,29,,,34.9,28
2018-01-31T01:09:48.900Z,,,,,,35.2,
2018-01-31T01:09:58.900Z,,50,30,,,35.5,28
2018-01-31T01:10:08.901Z,,50,,,,,28
2018-01-31T01:10:18.901Z,,50,29,,,35.8,28
2018-01-31T01:10:28.901Z,,,29,,,36,
2018-01-31T01:10:38.900Z,,50,,,,36.1,28
2018-01-31T01:10:48.906Z,,50,,,,,28
2018-01-31T01:10:58.900Z,,,29,,,36.5,
2018-01-31T01:11:08.900Z,,50,,,,36.6,28
2018-01-31T01:11:18.901Z,,50,30,,,36.8,28
2018-01-31T01:11:28.900Z,,50,29,,,36.9,28
2018-01-31T01:11:38.900Z,,,29,,,37.2,
2018-01-31T01:11:48.904Z,,50,30,,,37.3,28
2018-01-31T01:11:58.900Z,,50,,,,,28
2018-01-31T01:12:08.905Z,,,29,,,37.7,
2018-01-31T01:12:18.907Z,,50,,,,37.8,28
2018-01-31T01:12:28.900Z,,,30,,,38,
2018-01-31T01:12:38.905Z,,50,,,,38.2,28.1
2018-01-31T01:12:48.900Z,,50,,,,,28.1
2018-01-31T01:12:58.900Z,,,29,,,38.5,
2018-01-31T01:13:08.900Z,,50,,,,38.7,28.1
2018-01-31T01:13:18.904Z,,50,30,,,38.8,28.1
2018-01-31T01:13:28.900Z,,,29,,,39.1,
2018-01-31T01:13:38.900Z,,50,,,,39.3,28.1
2018-01-31T01:13:48.900Z,,50,,,,,28.1
2018-01-31T01:13:58.900Z,,,,,,39.6,
2018-01-31T01:14:08.900Z,,50,,,,39.8,28.1
2018-01-31T01:14:18.901Z,,50,,,,39.9,28.1
2018-01-31T01:14:28.901Z,,,,,,40.1,
2018-01-31T01:14:38.901Z,0,50,0,2,,39.1,28.3
2018-01-31T01:14:48.901Z,,,,,,36.6,
2018-01-31T01:14:58.910Z,,50,,,,35.7,28.3
2018-01-31T01:15:08.967Z,,50,,,,35.3,28.3
2018-01-31T01:15:18.900Z,,50,,,,,28.3
2018-01-31T01:15:28.900Z,,50,,,,,28.3
2018-01-31T01:15:38.941Z,,,,,,35.2,
2018-01-31T01:15:48.921Z,,50,,,,,28.3
2018-01-31T01:15:58.920Z,,50,,,,,28.3
2018-01-31T01:16:08.900Z,,50,,,,35.1,28.3
2018-01-31T01:16:18.901Z,,50,,,,34.8,28.3
2018-01-31T01:16:38.902Z,,50,,,,34.7,28.4
2018-01-31T01:16:48.900Z,,50,,,,,28.4
2018-01-31T01:17:08.901Z,,50,,,,,28.4
2018-01-31T01:17:18.901Z,,50,,,,,28.4
2018-01-31T01:17:28.900Z,,50,,,,,28.4
2018-01-31T01:17:38.901Z,,50,,,,34.6,28.4
2018-01-31T01:17:58.900Z,,50,,,,,28.4
2018-01-31T01:18:08.900Z,,50,,,,,28.4
2018-01-31T01:18:18.900Z,,50,,,,,28.4
2018-01-31T01:18:38.900Z,,50,,,,,28.5
2018-01-31T01:18:48.900Z,,50,,,,,28.5
2018-01-31T01:18:58.901Z,,,,,,34.5,
2018-01-31T01:19:08.900Z,,50,,,,34.6,28.5
2018-01-31T01:19:18.900Z,,50,,,,,28.5
2018-01-31T01:19:28.901Z,,50,,,,,28.5
2018-01-31T01:19:38.902Z,,,,,,34.6,
2018-01-31T01:19:48.900Z,,50,,,,,28.5
2018-01-31T01:19:58.900Z,,50,,,,,28.5
2018-01-31T01:20:18.900Z,,50,,,,,28.5
2018-01-31T01:20:28.900Z,,50,,,,,28.5
2018-01-31T01:20:48.901Z,,50,,,,,28.5
2018-01-31T01:20:58.900Z,,50,,,,,28.5
2018-01-31T01:21:08.900Z,,,,,,34.7,
2018-01-31T01:21:18.900Z,,50,,,,,28.5
2018-01-31T01:21:28.902Z,,50,,,,,28.5
2018-01-31T01:21:38.900Z,,,,,,34.8,
2018-01-31T01:21:48.901Z,,50,,,,,28.5
2018-01-31T01:21:58.900Z,,50,,,,,28.5
2018-01-31T01:22:18.901Z,,50,,,,34.9,28.6
2018-01-31T01:22:28.900Z,,50,,,,,28.6
2018-01-31T01:22:48.900Z,,50,,,,,28.6
2018-01-31T01:22:58.900Z,,50,,,,,28.6
2018-01-31T01:23:18.902Z,,50,,,,,28.6
2018-01-31T01:23:28.900Z,,50,,,,,28.6
2018-01-31T01:23:48.900Z,,50,,,,35.1,28.6
2018-01-31T01:23:58.900Z,,50,,,,34.9,28.6
2018-01-31T01:24:08.903Z,,,,,,35.1,
2018-01-31T01:24:18.900Z,,50,,,,35.1,28.6
2018-01-31T01:24:28.900Z,,50,,,,35.1,28.6
2018-01-31T01:24:48.900Z,,50,,,,35.1,28.6
2018-01-31T01:24:58.900Z,,50,,,,35.1,28.6
2018-01-31T01:25:08.900Z,,50,,,,35.1,28.6
2018-01-31T01:25:18.900Z,,50,,,,35.1,28.6
2018-01-31T01:25:28.900Z,,,,,,34.9,
