Time,PrimT,HwTSet,ActPow,HwTOutlet,HwActive,ChActive,PrimTSet
2018-02-02T01:03:18.853Z,,50,,30.1,,,
2018-02-02T01:03:28.854Z,35.2,,,,,,
2018-02-02T01:03:38.849Z,,50,,30.1,,,
2018-02-02T01:03:48.849Z,,50,,30.1,,,
2018-02-02T01:04:08.880Z,35.3,50,,30,,,
2018-02-02T01:04:18.865Z,,50,,30,,,
2018-02-02T01:04:38.870Z,,50,,30.1,,,
2018-02-02T01:04:48.858Z,,50,,30,,,
2018-02-02T01:04:58.857Z,35.4,,,,,,
2018-02-02T01:05:08.853Z,,50,,30,,,
2018-02-02T01:05:18.853Z,,50,,30,,,
2018-02-02T01:05:38.863Z,35.5,50,,30,,,
2018-02-02T01:05:48.854Z,,50,,30,,,
2018-02-02T01:06:08.864Z,,50,,30,,,
2018-02-02T01:06:18.858Z,,50,,30,,,
2018-02-02T01:06:38.863Z,,50,,30,,,
2018-02-02T01:06:48.874Z,,50,,30,,,
2018-02-02T01:07:08.849Z,,50,,30,,,
2018-02-02T01:07:18.857Z,,50,,30,,,
2018-02-02T01:07:38.849Z,,50,,30,,,
2018-02-02T01:07:48.868Z,,50,,30,,,
2018-02-02T01:08:08.851Z,,50,,30,,,
2018-02-02T01:08:18.860Z,,50,,30,,,
2018-02-02T01:08:38.873Z,,50,,30,,,
2018-02-02T01:08:48.849Z,,50,,30,,,
2018-02-02T01:09:08.849Z,,50,,30,,,
2018-02-02T01:09:18.874Z,,50,,30,,,
2018-02-02T01:09:38.850Z,,50,,29.8,,,
2018-02-02T01:09:48.906Z,,50,,29.8,,,
2018-02-02T01:10:08.889Z,,50,,29.8,,,
2018-02-02T01:10:18.867Z,,50,,29.8,,,
2018-02-02T01:10:38.859Z,,50,,29.8,,,
2018-02-02T01:10:48.878Z,,50,,29.8,,,
2018-02-02T01:10:58.849Z,35.4,,,,,,
2018-02-02T01:11:08.849Z,,50,,29.8,,,
2018-02-02T01:11:18.854Z,,50,,29.8,,,
2018-02-02T01:11:38.849Z,,50,,29.8,,,
2018-02-02T01:11:48.849Z,,50,,29.8,,,
2018-02-02T01:12:08.849Z,,50,,29.8,,,
2018-02-02T01:12:18.849Z,,50,,29.8,,,
