Time,ChActive,HwTSet,HwActive,HwTOutlet,ActPow,PrimT,PrimTSet
2018-01-18T00:46:11.243Z,,50,,34.2,,,
2018-01-18T00:46:21.324Z,,50,,34.1,,,
2018-01-18T00:46:31.252Z,,50,,34.1,,,
2018-01-18T00:46:41.244Z,,50,,34.1,,,
2018-01-18T00:46:51.243Z,,50,,34,,38.7,
2018-01-18T00:47:01.252Z,,50,,34,,,
2018-01-18T00:47:11.244Z,,50,,34,,,
2018-01-18T00:47:21.354Z,,50,,33.9,,,
2018-01-18T00:47:31.248Z,,50,,33.9,,,
2018-01-18T00:47:41.244Z,,50,,33.9,,38.6,
2018-01-18T00:47:51.257Z,,50,,33.8,,,
2018-01-18T00:48:01.269Z,,50,,33.8,,,
2018-01-18T00:48:11.265Z,,50,,33.8,,,
2018-01-18T00:48:21.284Z,,50,,33.7,,,
2018-01-18T00:48:31.244Z,,50,,33.7,,,
2018-01-18T00:48:41.244Z,,50,,33.7,,,
2018-01-18T00:48:51.252Z,,50,,33.7,,38.5,
2018-01-18T00:49:01.248Z,,50,,33.6,,,
2018-01-18T00:49:11.258Z,,50,,33.6,,,
2018-01-18T00:49:21.364Z,,50,,33.6,,,
2018-01-18T00:49:31.258Z,,50,,33.5,,,
2018-01-18T00:49:41.244Z,,50,,33.5,,,
2018-01-18T00:49:51.244Z,,50,,33.5,,,
2018-01-18T00:50:01.244Z,,50,,33.4,,38.4,
2018-01-18T00:50:11.244Z,,50,,33.4,,,
2018-01-18T00:50:21.354Z,,50,,33.4,,,
2018-01-18T00:50:31.246Z,,50,,33.4,,,
2018-01-18T00:50:41.244Z,,50,,33.3,,,
2018-01-18T00:50:51.254Z,,50,,33.3,,,
2018-01-18T00:51:01.273Z,,50,,33.3,,,
2018-01-18T00:51:11.244Z,,50,,33.2,,,
2018-01-18T00:51:21.347Z,,50,,33.2,,38.3,
2018-01-18T00:51:31.244Z,,50,,33.2,,,
2018-01-18T00:51:41.248Z,,50,,33.2,,,
2018-01-18T00:51:51.244Z,,50,,33.1,,,
2018-01-18T00:52:01.252Z,,50,,33.1,,,
2018-01-18T00:52:21.284Z,,50,,32.9,,,
2018-01-18T00:52:31.310Z,,50,,32.9,,38.2,
2018-01-18T00:52:41.245Z,,50,,32.9,,,
2018-01-18T00:52:51.244Z,,50,,32.8,,,
2018-01-18T00:53:01.244Z,,50,,32.8,,,
2018-01-18T00:53:21.323Z,,50,,32.8,,,
2018-01-18T00:53:31.244Z,,50,,32.7,,,
2018-01-18T00:53:41.244Z,,50,,32.7,,,
2018-01-18T00:53:51.244Z,,50,,32.7,,,
2018-01-18T00:54:01.244Z,,50,,32.7,,38.1,
2018-01-18T00:54:21.343Z,,50,,32.6,,,
2018-01-18T00:54:31.244Z,,50,,32.6,,,
2018-01-18T00:54:41.243Z,,50,,32.6,,,
2018-01-18T00:54:51.243Z,,50,,32.5,,,
2018-01-18T00:55:01.267Z,,50,,32.5,,,
2018-01-18T00:55:21.334Z,,50,,32.5,,,
2018-01-18T00:55:31.252Z,,50,,32.4,,,
2018-01-18T00:55:41.251Z,,,,,,38,
