Time,ChActive,HwTSet,PrimTSet,HwTOutlet,ActPow,PrimT,HwActive
2017-12-29T00:52:02.838Z,,50,,24.7,,,
2017-12-29T00:52:12.838Z,,50,,24.7,,40,
2017-12-29T00:52:22.837Z,,50,,24.7,,39.9,
2017-12-29T00:52:32.838Z,,50,,24.7,,40,
2017-12-29T00:52:42.838Z,,50,,24.7,,39.9,
2017-12-29T00:52:52.837Z,,50,,24.7,,,
2017-12-29T00:53:02.838Z,,50,,24.5,,,
2017-12-29T00:53:12.837Z,,50,,24.5,,,
2017-12-29T00:53:22.838Z,,50,,24.7,,,
2017-12-29T00:53:32.837Z,,50,,24.5,,,
2017-12-29T00:53:42.837Z,,50,,24.5,,,
2017-12-29T00:53:52.838Z,,50,,24.5,,39.8,
2017-12-29T00:54:02.838Z,,50,,24.5,,,
2017-12-29T00:54:12.837Z,,50,,24.5,,,
2017-12-29T00:54:22.838Z,,50,,24.5,,,
2017-12-29T00:54:32.841Z,,50,,24.5,,,
2017-12-29T00:54:42.838Z,,50,,24.5,,,
2017-12-29T00:54:52.838Z,,50,,24.5,,,
2017-12-29T00:55:02.837Z,,50,,24.5,,,
2017-12-29T00:55:12.838Z,,50,,24.5,,,
2017-12-29T00:55:22.837Z,,50,,24.5,,,
2017-12-29T00:55:32.838Z,,50,,24.5,,,
2017-12-29T00:55:42.838Z,,50,,24.5,,,
2017-12-29T00:55:52.838Z,,50,,24.5,,39.7,
2017-12-29T00:56:03.005Z,,50,,24.5,,,
2017-12-29T00:56:12.837Z,,50,,24.5,,,
2017-12-29T00:56:22.837Z,,50,,24.4,,,
2017-12-29T00:56:32.838Z,,50,,24.4,,,
2017-12-29T00:56:42.837Z,,50,,24.4,,,
2017-12-29T00:56:52.837Z,,50,,24.4,,,
2017-12-29T00:57:02.838Z,,50,,24.4,,,
2017-12-29T00:57:12.838Z,,50,,24.4,,,
2017-12-29T00:57:22.838Z,,50,,24.4,,,
2017-12-29T00:57:32.837Z,,50,,24.4,,,
2017-12-29T00:57:42.838Z,,50,,24.4,,39.6,
2017-12-29T00:57:52.838Z,,50,,24.4,,,
2017-12-29T00:58:02.837Z,,50,,24.4,,,
2017-12-29T00:58:12.837Z,,50,,24.4,,,
2017-12-29T00:58:22.837Z,,50,,24.4,,,
2017-12-29T00:58:32.837Z,,50,,24.4,,,
2017-12-29T00:58:42.838Z,,50,,24.4,,,
2017-12-29T00:58:52.837Z,,50,,24.4,,,
2017-12-29T00:59:02.838Z,,50,,24.4,,,
2017-12-29T00:59:12.838Z,,50,,24.4,,,
2017-12-29T00:59:22.838Z,,50,,24.4,,39.5,
2017-12-29T00:59:32.880Z,,50,,24.3,,,
2017-12-29T00:59:42.838Z,,50,,24.3,,,
2017-12-29T00:59:52.838Z,,50,,24.3,,,
2017-12-29T01:00:02.848Z,,50,,24.3,,,
2017-12-29T01:00:12.852Z,,50,,24.3,,,
2017-12-29T01:00:22.886Z,,50,,24.3,,,
2017-12-29T01:00:32.838Z,,50,,24.3,,,
2017-12-29T01:00:44.064Z,,50,,24.3,,,
2017-12-29T01:00:52.837Z,,50,,24.3,,,
2017-12-29T01:01:02.838Z,,50,,24.3,,39.4,
2017-12-29T01:01:12.838Z,,50,,24.3,,,
2017-12-29T01:01:22.837Z,,50,,24.3,,,
2017-12-29T01:01:32.837Z,,50,,24.3,,,
2017-12-29T01:01:42.838Z,,50,,24.3,,,
2017-12-29T01:01:52.838Z,,50,,24.3,,,
2017-12-29T01:02:02.838Z,,50,,24.3,,,
2017-12-29T01:02:12.837Z,,50,,24.3,,,
2017-12-29T01:02:22.838Z,,50,,24.3,,,
2017-12-29T01:02:32.837Z,,50,,24.3,,,
2017-12-29T01:02:42.837Z,,50,,24.3,,39.3,
2017-12-29T01:02:52.837Z,,50,,24.3,,,
2017-12-29T01:03:02.838Z,,50,,24.2,,,
2017-12-29T01:03:12.837Z,,50,,24.2,,,
2017-12-29T01:03:22.837Z,,50,,24.2,,,
2017-12-29T01:03:32.837Z,,50,,24.2,,,
2017-12-29T01:03:42.841Z,,50,,24.2,,,
2017-12-29T01:03:52.837Z,,50,,24.2,,,
2017-12-29T01:04:02.838Z,,50,,24.2,,,
2017-12-29T01:04:12.837Z,,50,,24.2,,39.2,
2017-12-29T01:04:22.926Z,,50,,24.2,,39.3,
2017-12-29T01:04:32.842Z,,50,,24.2,,39.2,
2017-12-29T01:04:42.837Z,,50,,24.2,,,
2017-12-29T01:04:52.837Z,,50,,24.2,,,
2017-12-29T01:05:02.838Z,,50,,24.2,,,
2017-12-29T01:05:12.837Z,,50,,24.2,,,
2017-12-29T01:05:22.837Z,,50,,24.2,,,
2017-12-29T01:05:32.839Z,,50,,24.2,,,
2017-12-29T01:05:42.839Z,,50,,24.2,,,
2017-12-29T01:05:52.837Z,,50,,24,,,
2017-12-29T01:06:02.839Z,,50,,24.2,,39.1,
2017-12-29T01:06:12.838Z,,50,,24.2,,,
2017-12-29T01:06:22.838Z,,50,,24.2,,,
2017-12-29T01:06:32.837Z,,50,,24,,,
2017-12-29T01:06:42.837Z,,50,,24,,,
2017-12-29T01:06:52.838Z,,50,,24,,,
2017-12-29T01:07:02.839Z,,50,,24,,,
2017-12-29T01:07:12.837Z,,50,,24,,,
2017-12-29T01:07:22.837Z,,50,,24,,,
2017-12-29T01:07:32.837Z,,50,,24,,,
2017-12-29T01:07:42.837Z,,50,,24,,38.9,
2017-12-29T01:07:52.837Z,,50,,24,,,
2017-12-29T01:08:02.839Z,,50,,24,,,
2017-12-29T01:08:12.837Z,,50,,24,,,
2017-12-29T01:08:22.838Z,,50,,24,,,
2017-12-29T01:08:32.837Z,,50,,24,,,
2017-12-29T01:08:42.837Z,,50,,24,,,
2017-12-29T01:08:52.837Z,,50,,24,,,
2017-12-29T01:09:02.837Z,,50,,24,,,
2017-12-29T01:09:12.837Z,,50,,24,,,
2017-12-29T01:09:22.837Z,,50,,24,,38.8,
2017-12-29T01:09:32.838Z,,50,,24,,,
2017-12-29T01:09:42.837Z,,50,,23.9,,,
2017-12-29T01:09:52.837Z,,50,,23.9,,,
2017-12-29T01:10:02.838Z,,50,,24,,,
2017-12-29T01:10:12.837Z,,50,,23.9,,,
2017-12-29T01:10:22.837Z,,50,,23.9,,,
2017-12-29T01:10:32.837Z,,50,,23.9,,,
2017-12-29T01:10:42.837Z,,50,,23.9,,,
2017-12-29T01:10:52.839Z,,50,,23.9,,,
2017-12-29T01:11:02.837Z,,50,,23.9,,,
2017-12-29T01:11:12.837Z,,50,,23.9,,38.7,
2017-12-29T01:11:22.837Z,,50,,23.9,,,
2017-12-29T01:11:32.837Z,,50,,23.9,,,
2017-12-29T01:11:42.837Z,,50,,23.9,,,
2017-12-29T01:11:53.074Z,,50,,23.9,,,
2017-12-29T01:12:02.837Z,,50,,23.9,,,
2017-12-29T01:12:12.837Z,,50,,23.9,,,
2017-12-29T01:12:22.838Z,,50,,23.9,,,
2017-12-29T01:12:32.838Z,,50,,23.9,,,
2017-12-29T01:12:42.837Z,,50,,23.9,,,
2017-12-29T01:12:52.995Z,,50,,23.9,,38.6,
2017-12-29T01:13:02.837Z,,50,,23.9,,,
2017-12-29T01:13:12.837Z,,50,,23.9,,,
2017-12-29T01:13:22.837Z,,50,,23.9,,,
2017-12-29T01:13:32.837Z,,50,,23.8,,,
2017-12-29T01:13:42.837Z,,50,,23.9,,,
2017-12-29T01:13:52.837Z,,50,,23.8,,,
2017-12-29T01:14:02.837Z,,50,,23.8,,,
2017-12-29T01:14:12.837Z,,50,,23.8,,,
2017-12-29T01:14:22.837Z,,50,,23.8,,,
2017-12-29T01:14:32.837Z,,50,,23.8,,,
2017-12-29T01:14:42.837Z,,50,,23.8,,,
2017-12-29T01:14:52.837Z,,50,,23.8,,38.5,
2017-12-29T01:15:02.837Z,,50,,23.8,,,
2017-12-29T01:15:12.837Z,,50,,23.8,,,
2017-12-29T01:15:22.837Z,,50,,23.8,,,
2017-12-29T01:15:32.838Z,,50,,23.8,,,
2017-12-29T01:15:42.837Z,,50,,23.8,,,
2017-12-29T01:15:52.837Z,,50,,23.8,,,
2017-12-29T01:16:02.837Z,,50,,23.8,,,
2017-12-29T01:16:12.837Z,,50,,23.8,,,
2017-12-29T01:16:22.837Z,,50,,23.8,,,
2017-12-29T01:16:32.837Z,,50,,23.8,,38.4,
2017-12-29T01:16:42.837Z,,50,,23.8,,,
2017-12-29T01:16:52.837Z,,50,,23.8,,,
2017-12-29T01:17:02.837Z,,50,,23.8,,,
2017-12-29T01:17:12.837Z,,50,,23.7,,,
2017-12-29T01:17:22.837Z,,50,,23.7,,,
2017-12-29T01:17:32.837Z,,50,,23.7,,,
2017-12-29T01:17:42.837Z,,50,,23.7,,,
2017-12-29T01:17:52.837Z,,50,,23.7,,,
2017-12-29T01:18:02.839Z,,50,,23.7,,,
2017-12-29T01:18:12.837Z,,50,,23.7,,,
2017-12-29T01:18:22.838Z,,50,,23.7,,38.3,
2017-12-29T01:18:32.914Z,,50,,23.7,,,
2017-12-29T01:18:42.839Z,,50,,23.7,,,
2017-12-29T01:18:52.841Z,,50,,23.7,,,
