Time,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,ActPow,HwTSet
2018-01-08T01:00:32.525Z,,,,38.4,30.6,,50
2018-01-08T01:00:42.526Z,,,,,30.6,,50
2018-01-08T01:00:52.591Z,,,,,30.6,,50
2018-01-08T01:01:02.526Z,,,,,30.6,,50
2018-01-08T01:01:12.537Z,,,,,30.6,,50
2018-01-08T01:01:22.525Z,,,,,30.6,,50
2018-01-08T01:01:32.526Z,,,,,30.6,,50
2018-01-08T01:01:42.530Z,,,,38.3,30.6,,50
2018-01-08T01:01:52.529Z,,,,,30.6,,50
2018-01-08T01:02:02.525Z,,,,,30.6,,50
2018-01-08T01:02:12.527Z,,,,,30.6,,50
2018-01-08T01:02:22.586Z,,,,,30.6,,50
2018-01-08T01:02:32.530Z,,,,,30.4,,50
2018-01-08T01:02:42.525Z,,,,,30.4,,50
2018-01-08T01:02:52.525Z,,,,38.2,30.4,,50
2018-01-08T01:03:02.525Z,,,,,30.4,,50
2018-01-08T01:03:12.525Z,1,0,,40.7,30.4,42,50
2018-01-08T01:03:22.526Z,,,,44.1,30.4,34,50
2018-01-08T01:03:32.525Z,,,,41.9,30.4,29,50
2018-01-08T01:03:42.527Z,,,,39.9,30.4,29,50
2018-01-08T01:03:52.563Z,,,,37.9,30.4,29,50
2018-01-08T01:04:02.526Z,,,,37.6,30.4,,50
2018-01-08T01:04:12.530Z,,,,37.2,30.4,,50
2018-01-08T01:04:22.527Z,,,,37.4,30.4,30,50
2018-01-08T01:04:32.533Z,,,,38,30.4,30,50
2018-01-08T01:04:42.536Z,,,,38.3,30.4,29,50
2018-01-08T01:04:52.527Z,,,,38.5,30.4,,50
2018-01-08T01:05:02.525Z,,,,38.7,30.4,,50
2018-01-08T01:05:12.526Z,,,,39.1,30.4,29,50
2018-01-08T01:05:22.525Z,,,,,30.4,30,50
2018-01-08T01:05:32.526Z,,,,39.3,30.4,29,50
2018-01-08T01:05:42.528Z,,,,39.6,30.4,,50
2018-01-08T01:05:52.525Z,,,,39.8,30.4,,50
2018-01-08T01:06:02.525Z,,,,40,30.4,,50
2018-01-08T01:06:12.535Z,,,,40.2,30.4,,50
2018-01-08T01:06:22.528Z,,,,40.4,30.4,,50
2018-01-08T01:06:32.525Z,,,,40.6,30.4,30,50
2018-01-08T01:06:42.527Z,,,,40.7,30.4,29,50
2018-01-08T01:06:52.528Z,,,,41,30.4,29,50
2018-01-08T01:07:02.525Z,,,,,30.4,30,50
2018-01-08T01:07:12.525Z,,,,41.1,30.4,29,50
2018-01-08T01:07:22.525Z,,,,41.3,30.4,,50
2018-01-08T01:07:32.530Z,,,,41.4,30.4,,50
2018-01-08T01:07:42.526Z,,,,41.5,30.4,,50
2018-01-08T01:07:52.525Z,,,,41.7,30.4,,50
2018-01-08T01:08:02.525Z,,,,41.8,30.4,,50
2018-01-08T01:08:12.525Z,,,,42,30.4,,50
