Time,HwActive,ActPow,HwTSet,PrimTSet,HwTOutlet,PrimT,ChActive
2018-02-04T01:07:28.796Z,,,50,,31.6,,
2018-02-04T01:07:48.796Z,,,50,,31.6,,
2018-02-04T01:07:58.797Z,,,50,,31.6,,
2018-02-04T01:08:08.796Z,,,50,,31.6,,
2018-02-04T01:08:28.798Z,,,50,,31.6,,
2018-02-04T01:08:38.797Z,,,50,,31.6,,
2018-02-04T01:08:58.801Z,,,50,,31.6,,
2018-02-04T01:09:08.827Z,,,50,,31.6,,
2018-02-04T01:09:28.796Z,,,50,,31.5,,
2018-02-04T01:09:38.797Z,,,50,,31.5,,
2018-02-04T01:09:48.800Z,,,,,,37.7,
2018-02-04T01:09:58.796Z,,,50,,31.5,,
2018-02-04T01:10:08.802Z,,,50,,31.5,,
2018-02-04T01:10:28.797Z,,,50,,31.5,37.8,
2018-02-04T01:10:38.797Z,,,50,,31.5,,
2018-02-04T01:10:58.798Z,,,50,,31.5,37.9,
2018-02-04T01:11:08.796Z,,,50,,31.5,,
2018-02-04T01:11:28.802Z,,,50,,31.5,,
2018-02-04T01:11:38.797Z,,,50,,31.4,38,
2018-02-04T01:11:48.797Z,0,,50,5,31.4,38,0
2018-02-04T01:11:58.797Z,0,,50,59,31.4,,2
2018-02-04T01:12:08.796Z,0,,50,5,31.4,,0
2018-02-04T01:12:18.797Z,0,,,59,,,2
2018-02-04T01:12:28.796Z,,,50,,31.4,,
2018-02-04T01:12:38.797Z,0,,,5,,,0
2018-02-04T01:12:48.796Z,,,50,,31.4,,
2018-02-04T01:12:58.796Z,,,50,,31.4,,
2018-02-04T01:13:08.797Z,,,50,,31.4,,
2018-02-04T01:13:18.796Z,,,50,,31.4,,
2018-02-04T01:13:28.797Z,0,,,59,,,2
2018-02-04T01:13:38.796Z,,,50,,31.3,,
2018-02-04T01:13:48.796Z,,,50,,31.3,,
2018-02-04T01:13:58.796Z,,,50,,31.3,,
2018-02-04T01:14:18.796Z,,,50,,31.3,,
2018-02-04T01:14:28.797Z,,,50,,31.3,,
2018-02-04T01:14:48.796Z,,,50,,31.3,,
2018-02-04T01:14:58.796Z,,,50,,31.3,,
2018-02-04T01:15:08.796Z,,,50,,31.3,38,
2018-02-04T01:15:18.796Z,,,50,,31.3,37.9,
2018-02-04T01:15:28.796Z,,,50,,31.3,38,
2018-02-04T01:15:38.796Z,,,,,,37.9,
2018-02-04T01:15:48.796Z,,,50,,31.2,,
2018-02-04T01:15:58.796Z,,,50,,31.2,,
2018-02-04T01:16:08.796Z,,,50,,31.2,,
2018-02-04T01:16:28.796Z,,,50,,31.2,,
2018-02-04T01:16:38.796Z,,,50,,31.2,,
2018-02-04T01:16:58.796Z,,,50,,31.2,,
2018-02-04T01:17:08.796Z,,,50,,31,,
2018-02-04T01:17:18.798Z,,,,,,37.8,
2018-02-04T01:17:28.796Z,,,50,,31,,
2018-02-04T01:17:38.796Z,,,50,,31,,
2018-02-04T01:17:58.796Z,,,50,,31,,
2018-02-04T01:18:08.796Z,,,50,,31,,
2018-02-04T01:18:28.796Z,,,50,,31,37.7,
2018-02-04T01:18:38.797Z,,,50,,31,,
2018-02-04T01:18:58.796Z,,,50,,30.9,,
2018-02-04T01:19:08.796Z,,,50,,30.9,,
2018-02-04T01:19:28.796Z,,,50,,30.9,,
2018-02-04T01:19:38.871Z,,,50,,30.9,,
