Time,HwTSet,PrimTSet,HwActive,ChActive,PrimT,ActPow,HwTOutlet
2017-11-20T00:55:33.346Z,,,,,38.5,,
2017-11-20T00:55:43.346Z,52,,,,,,42.2
2017-11-20T00:55:53.348Z,,,,,38.7,,
2017-11-20T00:56:03.426Z,52,,,,39.1,,42.1
2017-11-20T00:56:13.346Z,52,,,,39.5,30,41.8
2017-11-20T00:56:23.345Z,52,,,,39.8,30,41.6
2017-11-20T00:56:33.347Z,52,,,,40,29,41.5
2017-11-20T00:56:43.411Z,52,,,,40.1,30,41.3
2017-11-20T00:56:53.405Z,,,0,2,38.8,0,
2017-11-20T00:57:03.426Z,52,,,,38.5,,41.1
2017-11-20T00:57:13.380Z,52,,,,35.9,,40.9
2017-11-20T00:57:23.371Z,52,,,,35.2,,40.8
2017-11-20T00:57:33.363Z,52,,,,,,40.6
2017-11-20T00:57:43.346Z,,,,,35.1,,
2017-11-20T00:57:53.346Z,,,,,35.1,,
2017-11-20T00:58:03.426Z,,,,,34.9,,
2017-11-20T00:58:13.346Z,52,,,,,,40.2
2017-11-20T00:58:23.346Z,52,,,,34.8,,40.2
2017-11-20T00:58:33.347Z,52,,,,34.7,,40.1
2017-11-20T00:58:43.346Z,52,,,,,,40
2017-11-20T00:58:53.346Z,,,,,34.6,,
2017-11-20T00:59:03.426Z,52,,,,,,39.8
2017-11-20T00:59:13.346Z,52,,,,34.5,,39.7
2017-11-20T00:59:23.346Z,52,,,,34.6,,39.5
2017-11-20T00:59:33.347Z,52,,,,,,39.4
2017-11-20T00:59:43.345Z,,,,,34.5,,
2017-11-20T01:00:03.426Z,52,,,,34.4,,39.3
2017-11-20T01:00:13.345Z,52,,,,,,39.1
2017-11-20T01:00:23.346Z,52,,,,,,38.9
2017-11-20T01:00:33.345Z,52,,,,,,38.8
2017-11-20T01:00:43.346Z,52,,,,,,38.7
2017-11-20T01:01:03.426Z,52,5,0,0,,,38.6
2017-11-20T01:01:13.346Z,52,,,,,,38.4
2017-11-20T01:01:23.345Z,,58,0,2,,,
2017-11-20T01:01:33.345Z,52,,,,,,38.3
2017-11-20T01:01:43.345Z,52,,,,,,38.2
2017-11-20T01:01:53.346Z,,,,,34.5,,
2017-11-20T01:02:03.425Z,52,,,,34.6,,38.1
2017-11-20T01:02:13.346Z,52,,,,34.9,,37.9
2017-11-20T01:02:23.346Z,,,,,35.1,,
2017-11-20T01:02:33.346Z,52,,,,35.4,,37.7
2017-11-20T01:02:43.346Z,52,,,,,,37.7
2017-11-20T01:02:53.345Z,,,,,35.5,,
2017-11-20T01:03:03.426Z,52,,,,35.8,,37.6
2017-11-20T01:03:13.348Z,52,,,,36.3,,37.4
2017-11-20T01:03:23.347Z,52,,,,36.6,,37.3
2017-11-20T01:03:33.346Z,52,,,,36.8,,37.3
2017-11-20T01:03:43.350Z,,,,,37.2,,
2017-11-20T01:03:53.346Z,52,,,,,,37.2
2017-11-20T01:04:03.426Z,52,,,,37.4,,37.1
2017-11-20T01:04:13.346Z,52,,,,38,,36.9
2017-11-20T01:04:23.345Z,52,,,,,,36.8
2017-11-20T01:04:33.345Z,52,,,,38.2,,36.7
2017-11-20T01:04:43.345Z,52,,,,,,36.6
2017-11-20T01:04:53.348Z,,5,0,0,38.5,,
2017-11-20T01:05:03.426Z,52,,,,38.6,,36.5
2017-11-20T01:05:13.345Z,52,,,,38.9,,36.4
2017-11-20T01:05:23.352Z,52,58,0,2,,,36.4
2017-11-20T01:05:33.345Z,52,,,,,,36.3
2017-11-20T01:05:43.345Z,,5,0,0,,,
2017-11-20T01:05:53.450Z,52,,,,,,36.2
2017-11-20T01:06:13.346Z,52,,,,,,36
2017-11-20T01:06:23.345Z,,,,,38.8,,
2017-11-20T01:06:33.346Z,52,,,,,,35.9
2017-11-20T01:06:43.345Z,52,,,,,,35.8
2017-11-20T01:06:53.345Z,,,,,38.7,,
2017-11-20T01:07:03.426Z,52,,,,,,35.8
2017-11-20T01:07:13.346Z,52,,,,38.5,,35.7
2017-11-20T01:07:23.350Z,52,,,,,,35.6
2017-11-20T01:07:33.345Z,,,,,38.4,,
2017-11-20T01:07:43.345Z,52,,,,,,35.5
2017-11-20T01:07:53.346Z,,,,,38.3,,
2017-11-20T01:08:03.426Z,52,,,,,,35.4
2017-11-20T01:08:13.346Z,52,,,,38.1,,35.3
2017-11-20T01:08:23.345Z,52,,,,38,,35.3
2017-11-20T01:08:33.346Z,52,,,,37.9,,35.2
2017-11-20T01:08:53.346Z,52,,,,,,35.2
2017-11-20T01:09:13.346Z,52,,,,37.8,,34.9
2017-11-20T01:09:23.345Z,,,,,37.7,,
2017-11-20T01:09:33.345Z,52,,,,37.6,,34.8
2017-11-20T01:09:43.346Z,52,,,,,,34.7
2017-11-20T01:09:53.346Z,,,,,37.5,,
2017-11-20T01:10:03.426Z,52,,,,,,34.7
2017-11-20T01:10:13.345Z,52,,,,37.4,,34.6
2017-11-20T01:10:23.346Z,52,,,,37.3,,34.5
