Time,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet,HwTSet,ChActive
2018-02-13T01:22:48.547Z,30.8,40.6,,,,50,
2018-02-13T01:22:58.547Z,30.9,,,,,50,
2018-02-13T01:23:08.547Z,30.9,40.9,,,,50,
2018-02-13T01:23:18.547Z,,41,,,,,
2018-02-13T01:23:28.547Z,30.8,41.2,,,,50,
2018-02-13T01:23:38.588Z,30.9,,,,,50,
2018-02-13T01:23:48.547Z,30.9,41.4,,,,50,
2018-02-13T01:23:58.568Z,,41.6,30,,,,
2018-02-13T01:24:08.564Z,30.9,41.7,29,,,50,
2018-02-13T01:24:18.548Z,38,46,38,1,0,50,0
2018-02-13T01:24:28.557Z,40.8,43.5,0,0,,50,0
2018-02-13T01:24:38.547Z,41.8,42.6,,,,50,
2018-02-13T01:24:48.547Z,41.7,42.2,,,,50,
2018-02-13T01:24:58.549Z,41.7,,,,,50,
2018-02-13T01:25:18.547Z,41.4,,,,,50,
2018-02-13T01:25:28.547Z,41.6,42.1,,0,59,50,2
2018-02-13T01:25:38.547Z,41.6,41.2,,0,0,50,0
2018-02-13T01:25:48.559Z,41.5,40.6,,1,,50,0
2018-02-13T01:25:58.547Z,,41.2,30,,,,
2018-02-13T01:26:08.547Z,41.9,42.1,32,,,50,
2018-02-13T01:26:18.547Z,43.3,40.9,0,1,,50,0
2018-02-13T01:26:28.547Z,41.3,41.2,30,,,50,
2018-02-13T01:26:38.547Z,42,42.1,36,,,50,
2018-02-13T01:26:48.547Z,43.5,43.6,34,,,50,
2018-02-13T01:26:58.547Z,44.8,45.3,0,0,,50,0
2018-02-13T01:27:08.547Z,45.3,44.6,,0,,50,0
2018-02-13T01:27:18.547Z,,44.4,,,,,
2018-02-13T01:27:28.547Z,45,44,41,1,,50,0
2018-02-13T01:27:38.547Z,43.7,43.9,34,,,50,
2018-02-13T01:27:48.557Z,43.8,46.1,0,0,,50,0
2018-02-13T01:27:58.547Z,43.5,45.6,,0,,50,0
2018-02-13T01:28:08.547Z,,45.5,,,,,
2018-02-13T01:28:18.547Z,43.3,45.7,,1,,50,0
2018-02-13T01:28:28.547Z,44,44.2,47,1,,50,0
2018-02-13T01:28:38.547Z,43.6,44.3,0,0,,50,0
2018-02-13T01:28:48.547Z,43.4,44.1,,,,50,
2018-02-13T01:28:58.547Z,43.3,,,,,50,
2018-02-13T01:29:18.548Z,43.1,44,,,,50,
2018-02-13T01:29:28.547Z,43,,,,,50,
2018-02-13T01:29:38.547Z,42.9,45,45,0,59,50,2
2018-02-13T01:29:48.557Z,42.8,49.1,35,,,50,
2018-02-13T01:29:58.547Z,42.7,44.6,29,,,50,
2018-02-13T01:30:08.547Z,42.6,43.4,30,,,50,
2018-02-13T01:30:18.547Z,42.5,41.5,29,,,50,
2018-02-13T01:30:28.546Z,,40.4,,,,,
2018-02-13T01:30:38.547Z,42.3,40.3,30,,,50,
2018-02-13T01:30:48.547Z,42.2,40.5,29,,,50,
2018-02-13T01:30:58.547Z,,41,29,,,,
2018-02-13T01:31:08.547Z,42,41.2,30,,,50,
