Time,ActPow,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,HwTSet
2017-11-21T01:50:21.311Z,,,,,,23.9,52
2017-11-21T01:50:51.310Z,,,,,,23.9,52
2017-11-21T01:51:01.310Z,,,,,,23.9,52
2017-11-21T01:51:21.312Z,,,,,,23.9,52
2017-11-21T01:51:51.318Z,,,,,,23.9,52
2017-11-21T01:52:01.314Z,,,,,,23.9,52
2017-11-21T01:52:26.330Z,,,,,,23.9,52
2017-11-21T01:52:51.315Z,,,,,,23.8,52
2017-11-21T01:53:11.312Z,,,,,,23.8,52
2017-11-21T01:53:21.310Z,,,,,,23.9,52
2017-11-21T01:53:51.311Z,,,,,,23.8,52
2017-11-21T01:54:01.309Z,,,,,,23.8,52
2017-11-21T01:54:21.315Z,,,,,,23.8,52
2017-11-21T01:54:51.315Z,,,,,,23.8,52
2017-11-21T01:55:01.314Z,,,,,,23.8,52
2017-11-21T01:55:21.311Z,,,,,,23.8,52
2017-11-21T01:55:51.310Z,,,,,,23.8,52
2017-11-21T01:56:01.313Z,,,,,,23.8,52
2017-11-21T01:56:21.310Z,,,,,,23.8,52
2017-11-21T01:56:51.312Z,,,,,,23.8,52
2017-11-21T01:57:11.309Z,,,,,,23.8,52
2017-11-21T01:57:21.310Z,,,,,,23.8,52
2017-11-21T01:57:51.315Z,,,,,24.7,23.8,52
2017-11-21T01:58:11.309Z,,,,,,23.8,52
2017-11-21T01:58:21.309Z,,,,,,23.8,52
2017-11-21T01:58:51.310Z,,,,,,23.8,52
2017-11-21T01:59:01.309Z,,,,,24.6,,
2017-11-21T01:59:11.310Z,,,,,24.7,23.8,52
2017-11-21T01:59:21.310Z,,,,,,23.8,52
2017-11-21T01:59:51.315Z,,,,,24.7,23.8,52
2017-11-21T02:00:11.314Z,,,,,24.6,23.8,52
2017-11-21T02:00:21.309Z,,,,,,23.8,52
2017-11-21T02:00:51.310Z,,,,,24.7,23.8,52
2017-11-21T02:01:01.313Z,,,,,24.6,,
2017-11-21T02:01:11.310Z,,,,,24.7,23.8,52
2017-11-21T02:01:21.310Z,,,,,,23.8,52
2017-11-21T02:01:31.310Z,,,,,24.6,,
2017-11-21T02:01:51.310Z,,,,,,23.8,52
2017-11-21T02:02:01.309Z,,,,,,23.8,52
2017-11-21T02:02:21.314Z,,,,,,23.8,52
2017-11-21T02:02:51.311Z,,,,,,23.8,52
2017-11-21T02:03:11.310Z,,,,,,23.8,52
2017-11-21T02:03:21.310Z,,,,,,23.8,52
2017-11-21T02:03:51.310Z,,,,,,23.7,52
2017-11-21T02:04:11.310Z,,,,,,23.7,52
2017-11-21T02:04:21.310Z,,,,,,23.7,52
2017-11-21T02:04:51.310Z,,,,,,23.7,52
