Time,HwTSet,HwActive,ChActive,PrimTSet,ActPow,HwTOutlet,PrimT
2018-01-13T01:06:41.382Z,50,,,,30,28.1,31.5
2018-01-13T01:06:51.386Z,50,,,,29,28,31.8
2018-01-13T01:07:01.385Z,50,,,,,28,32
2018-01-13T01:07:11.382Z,50,,,,30,28,32.1
2018-01-13T01:07:21.385Z,50,,,,29,28,32.2
2018-01-13T01:07:31.381Z,50,,,,,28,32.4
2018-01-13T01:07:41.382Z,50,,,,,28,32.6
2018-01-13T01:07:51.381Z,50,,,,,28,32.7
2018-01-13T01:08:01.382Z,50,,,,,28,32.9
2018-01-13T01:08:11.381Z,50,,,,,28,33.1
2018-01-13T01:08:21.384Z,50,,,,,28,33.3
2018-01-13T01:08:31.381Z,50,,,,,27.9,33.4
2018-01-13T01:08:41.381Z,50,,,,,27.9,33.6
2018-01-13T01:08:51.384Z,50,,,,30,27.9,33.7
2018-01-13T01:09:01.382Z,50,,,,29,27.9,33.9
2018-01-13T01:09:11.382Z,50,,,,,27.9,34.1
2018-01-13T01:09:21.385Z,50,,,,30,27.9,34.3
2018-01-13T01:09:31.387Z,50,,,,,27.9,34.4
2018-01-13T01:09:41.386Z,50,,,,29,27.9,34.6
2018-01-13T01:09:51.383Z,50,,,,,27.9,34.8
2018-01-13T01:10:01.382Z,50,,,,29,27.9,35.1
2018-01-13T01:10:11.388Z,50,,,,30,27.9,35.3
2018-01-13T01:10:21.382Z,50,,,,29,27.9,35.5
2018-01-13T01:10:31.391Z,50,,,,,27.9,35.6
2018-01-13T01:10:41.382Z,50,,,,,27.9,35.8
2018-01-13T01:10:51.388Z,50,,,,,27.9,36
2018-01-13T01:11:01.386Z,50,,,,30,27.9,36.2
2018-01-13T01:11:11.381Z,50,,,,29,27.9,36.4
2018-01-13T01:11:21.390Z,50,,,,,27.9,36.6
2018-01-13T01:11:31.381Z,50,,,,,27.9,36.8
2018-01-13T01:11:41.400Z,50,,,,30,27.9,37.1
2018-01-13T01:11:51.382Z,50,,,,29,27.9,37.3
2018-01-13T01:12:01.382Z,50,,,,,27.9,37.4
2018-01-13T01:12:11.405Z,50,,,,,27.9,37.6
2018-01-13T01:12:21.383Z,50,,,,,27.9,37.8
2018-01-13T01:12:31.382Z,50,,,,29,27.9,38
2018-01-13T01:12:41.409Z,50,,,,,27.9,38.1
2018-01-13T01:12:51.382Z,50,,,,,27.9,38.3
2018-01-13T01:13:01.381Z,50,,,,,27.9,38.5
2018-01-13T01:13:11.381Z,50,,,,,27.9,38.6
2018-01-13T01:13:21.381Z,50,,,,30,27.9,38.8
2018-01-13T01:13:31.382Z,50,,,,30,27.9,39.1
2018-01-13T01:13:41.381Z,50,,,,29,27.9,39.2
2018-01-13T01:13:51.381Z,50,,,,,27.9,39.4
2018-01-13T01:14:01.383Z,50,,,,,27.9,39.5
2018-01-13T01:14:11.381Z,50,,,,,28,39.7
2018-01-13T01:14:21.428Z,50,,,,30,28,39.8
2018-01-13T01:14:31.381Z,50,,,,30,28,40
2018-01-13T01:14:41.412Z,50,,,,29,28,40.2
2018-01-13T01:14:51.381Z,50,,,,,28,40.3
