Time,HwActive,HwTSet,ActPow,PrimT,HwTOutlet,PrimTSet,ChActive
2018-02-01T01:20:48.898Z,0,50,,,33.6,,2
2018-02-01T01:20:58.890Z,,50,37,41.7,33.6,,
2018-02-01T01:21:08.879Z,,50,29,41.2,33.6,,
2018-02-01T01:21:18.879Z,,50,,39.5,33.6,,
2018-02-01T01:21:28.879Z,,50,29,37.3,33.5,,
2018-02-01T01:21:38.879Z,,,,36.4,,,
2018-02-01T01:21:48.879Z,,50,30,36.1,33.5,,
2018-02-01T01:21:58.885Z,,50,29,36.3,33.5,,
2018-02-01T01:22:08.879Z,,50,,,33.4,,
2018-02-01T01:22:18.879Z,,,29,37.2,,,
2018-02-01T01:22:28.878Z,,50,,37.5,33.4,,
2018-02-01T01:22:38.879Z,,50,,,33.3,,
2018-02-01T01:22:48.890Z,,,29,37.8,,,
2018-02-01T01:22:58.879Z,,50,,37.9,33.3,,
2018-02-01T01:23:08.881Z,,,30,38.1,,,
2018-02-01T01:23:18.881Z,,50,29,38.3,33.2,,
2018-02-01T01:23:28.879Z,,50,,,33.2,,
2018-02-01T01:23:38.879Z,,,29,38.7,,,
2018-02-01T01:23:48.879Z,,50,30,38.9,33.2,,
2018-02-01T01:23:58.879Z,,50,29,39.1,33.2,,
2018-02-01T01:24:08.879Z,,,,39.3,,,
2018-02-01T01:24:18.879Z,,50,30,39.5,33.1,,
2018-02-01T01:24:28.879Z,,50,,,33.1,,
2018-02-01T01:24:38.879Z,,,29,39.8,,,
2018-02-01T01:24:48.879Z,,50,,39.9,33.1,,
2018-02-01T01:24:58.879Z,,50,30,40.1,32.9,,
2018-02-01T01:25:08.922Z,,,29,40.2,,,
2018-02-01T01:25:18.879Z,,50,,40.4,32.9,,
2018-02-01T01:25:28.878Z,,50,,,32.9,,
2018-02-01T01:25:38.889Z,,,,40.6,,,
2018-02-01T01:25:48.879Z,,50,,40.8,32.9,,
2018-02-01T01:25:58.891Z,,50,,40.9,32.8,,
2018-02-01T01:26:08.881Z,,,,41.1,,,
2018-02-01T01:26:18.892Z,,50,,41.2,32.8,,
2018-02-01T01:26:28.879Z,,50,,,32.8,,
2018-02-01T01:26:38.879Z,,,,41.5,,,
2018-02-01T01:26:48.879Z,,50,,41.6,32.8,,
2018-02-01T01:26:58.881Z,,50,,41.8,32.8,,
2018-02-01T01:27:08.879Z,,50,,41.9,32.8,,
2018-02-01T01:27:18.879Z,,,,42,,,
2018-02-01T01:27:28.879Z,,50,,42.2,32.8,,
2018-02-01T01:27:38.878Z,,50,,,32.7,,
2018-02-01T01:27:48.879Z,,,,42.6,,,
2018-02-01T01:27:58.879Z,,50,30,42.7,32.7,,
2018-02-01T01:28:08.879Z,,50,,,32.7,,
2018-02-01T01:28:18.879Z,0,50,0,43.1,32.7,,2
2018-02-01T01:28:28.886Z,,50,,41.1,32.7,,
2018-02-01T01:28:38.879Z,,50,,39.2,32.7,,
2018-02-01T01:28:48.879Z,,50,,38.4,32.7,,
2018-02-01T01:28:58.879Z,,50,,38.1,32.7,,
2018-02-01T01:29:18.879Z,,50,,,32.7,,
2018-02-01T01:29:28.879Z,,50,,,32.7,,
2018-02-01T01:29:48.878Z,,50,,,32.6,,
2018-02-01T01:29:58.879Z,,50,,37.9,32.6,,
2018-02-01T01:30:08.878Z,,,,37.8,,,
2018-02-01T01:30:18.879Z,,50,,37.7,32.6,,
2018-02-01T01:30:28.879Z,,50,,,32.6,,
2018-02-01T01:30:48.879Z,,50,,,32.6,,
2018-02-01T01:30:58.879Z,,50,,37.6,32.6,,
2018-02-01T01:31:08.879Z,,50,,,32.6,,
2018-02-01T01:31:18.879Z,,50,,37.5,32.6,,
2018-02-01T01:31:38.879Z,,50,,,32.6,,
