Time,HwTSet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTOutlet
2017-12-05T01:04:38.821Z,50,,,,,,29.5
2017-12-05T01:04:48.822Z,,,29,,,35.7,
2017-12-05T01:04:58.825Z,50,,30,,,35.9,29.3
2017-12-05T01:05:08.822Z,,,29,,,36.1,
2017-12-05T01:05:18.821Z,50,,,,,36.3,29.3
2017-12-05T01:05:28.821Z,50,,,,,,29.3
2017-12-05T01:05:38.821Z,,,,,,36.6,
2017-12-05T01:05:48.822Z,50,,,,,36.8,29.5
2017-12-05T01:05:58.825Z,50,,30,,,37.1,29.3
2017-12-05T01:06:08.828Z,,,,,,37.2,
2017-12-05T01:06:18.822Z,50,,29,,,37.4,29.3
2017-12-05T01:06:28.822Z,50,,,,,,29.3
2017-12-05T01:06:38.821Z,,,30,,,37.7,
2017-12-05T01:06:48.822Z,50,,29,,,37.9,29.5
2017-12-05T01:06:58.822Z,50,,29,,,38,29.3
2017-12-05T01:07:08.822Z,,,,,,38.2,
2017-12-05T01:07:18.821Z,50,,,,,38.4,29.5
2017-12-05T01:07:28.825Z,50,,,,,,29.5
2017-12-05T01:07:38.821Z,,,30,,,38.7,
2017-12-05T01:07:48.821Z,50,,29,,,38.9,29.5
2017-12-05T01:07:58.822Z,50,,30,,,39.2,29.5
2017-12-05T01:08:08.821Z,,0,30,59,2,39.4,
2017-12-05T01:08:18.821Z,50,,29,,,39.6,29.5
2017-12-05T01:08:28.821Z,50,,,,,,29.5
2017-12-05T01:08:38.822Z,50,,,,,39.9,29.5
2017-12-05T01:08:48.821Z,,,,,,40.1,
2017-12-05T01:08:58.822Z,50,,,,,40.3,29.5
2017-12-05T01:09:08.821Z,50,,,,,,29.5
2017-12-05T01:09:18.824Z,,,,,,40.6,
2017-12-05T01:09:28.822Z,50,,,,,40.8,29.5
2017-12-05T01:09:38.828Z,50,,,,,40.9,29.5
2017-12-05T01:09:48.822Z,,,,,,41.1,
2017-12-05T01:09:58.821Z,50,,,,,41.3,29.6
2017-12-05T01:10:08.822Z,50,,,,,,29.6
2017-12-05T01:10:18.821Z,,,,,,41.6,
2017-12-05T01:10:28.822Z,50,,,,,41.7,29.6
2017-12-05T01:10:38.825Z,50,,,,,41.9,29.6
2017-12-05T01:10:48.827Z,,,29,,,42,
2017-12-05T01:10:58.824Z,50,,,,,42.2,29.6
2017-12-05T01:11:08.823Z,50,,,,,,29.6
2017-12-05T01:11:18.828Z,,,,,,42.6,
2017-12-05T01:11:28.827Z,50,,,,,42.8,29.7
2017-12-05T01:11:38.827Z,50,,30,,,42.9,29.7
2017-12-05T01:11:48.823Z,,,29,,,43.1,
2017-12-05T01:11:58.931Z,50,,30,,,43.2,29.7
2017-12-05T01:12:08.823Z,50,,,,,,29.7
2017-12-05T01:12:18.827Z,,,,,,43.5,
2017-12-05T01:12:28.823Z,50,,,,,43.7,29.8
2017-12-05T01:12:38.827Z,50,,,,,,29.8
2017-12-05T01:12:48.821Z,,,29,,,44,
2017-12-05T01:12:58.821Z,50,0,0,,2,44.1,29.8
2017-12-05T01:13:08.978Z,50,,,,,41.8,29.8
2017-12-05T01:13:18.822Z,50,,,,,40.5,30
2017-12-05T01:13:28.822Z,50,,,,,39.5,30
2017-12-05T01:13:38.821Z,,,,,,39.1,
2017-12-05T01:13:48.821Z,50,,,,,,30
2017-12-05T01:13:58.821Z,50,,,,,,30
2017-12-05T01:14:08.825Z,50,,,,,38.9,30
2017-12-05T01:14:18.821Z,50,,,,,39.1,30.1
2017-12-05T01:14:28.821Z,,,,,,38.9,
2017-12-05T01:14:38.821Z,50,,,,,38.7,30.1
2017-12-05T01:14:48.821Z,50,,,,,,30.1
2017-12-05T01:14:58.821Z,50,,,,,38.5,30.1
2017-12-05T01:15:18.827Z,50,,,,,,30.2
2017-12-05T01:15:28.822Z,50,,,,,,30.2
2017-12-05T01:15:38.827Z,,,,,,38.4,
2017-12-05T01:15:48.823Z,50,,,,,,30.2
2017-12-05T01:15:58.823Z,50,,,,,38.3,30.3
2017-12-05T01:16:18.824Z,50,,,,,,30.3
2017-12-05T01:16:28.825Z,50,,,,,,30.3
2017-12-05T01:16:38.826Z,,,,,,38.2,
2017-12-05T01:16:48.821Z,50,,,,,,30.4
2017-12-05T01:16:58.821Z,50,,,,,,30.4
2017-12-05T01:17:08.821Z,50,,,,,,30.4
2017-12-05T01:17:28.826Z,50,,,,,,30.4
2017-12-05T01:17:38.821Z,50,,,,,,30.6
2017-12-05T01:17:48.826Z,,,,,,38.2,
2017-12-05T01:17:58.822Z,50,,,,,38.1,30.6
2017-12-05T01:18:08.826Z,50,,,,,,30.6
2017-12-05T01:18:18.826Z,,,,,,38.2,
2017-12-05T01:18:28.821Z,50,,,,,,30.6
2017-12-05T01:18:38.821Z,50,,,,,,30.7
2017-12-05T01:18:58.826Z,50,,,,,,30.7
2017-12-05T01:19:08.821Z,50,,,,,,30.7
2017-12-05T01:19:23.857Z,,,,,,38.3,
2017-12-05T01:19:33.848Z,50,,,,,,30.7
2017-12-05T01:19:38.826Z,50,,,,,,30.8
2017-12-05T01:19:48.827Z,,,,,,38.4,
2017-12-05T01:19:58.822Z,50,,,,,,30.8
2017-12-05T01:20:08.823Z,50,,,,,,30.8
2017-12-05T01:20:18.821Z,,,,,,38.5,
2017-12-05T01:20:28.826Z,50,,,,,,30.8
2017-12-05T01:20:38.825Z,50,,,,,,30.9
2017-12-05T01:20:48.821Z,50,0,,5,0,,30.9
2017-12-05T01:20:58.822Z,50,0,,59,2,,30.9
2017-12-05T01:21:08.821Z,,0,,5,0,,
2017-12-05T01:21:18.825Z,50,,,,,38.6,30.9
2017-12-05T01:21:28.826Z,50,,,,,,30.9
2017-12-05T01:21:48.826Z,50,,,,,,31
2017-12-05T01:21:58.826Z,50,,,,,,31
2017-12-05T01:22:08.823Z,50,,,,,,31
2017-12-05T01:22:28.821Z,50,,,,,,31
2017-12-05T01:22:38.825Z,50,,,,,,31
2017-12-05T01:22:58.821Z,50,,,,,,31
2017-12-05T01:23:08.826Z,50,,,,,,31
2017-12-05T01:23:28.821Z,50,,,,,,31.2
2017-12-05T01:23:38.821Z,50,,,,,38.5,31.2
2017-12-05T01:23:48.827Z,,0,,59,2,38.5,
2017-12-05T01:23:58.825Z,50,,,,,,31.2
2017-12-05T01:24:08.825Z,50,,,,,,31.2
2017-12-05T01:24:28.821Z,50,,,,,,31.2
2017-12-05T01:24:38.821Z,50,,,,,,31.2
2017-12-05T01:24:58.821Z,50,,,,,38.4,31.2
2017-12-05T01:25:08.825Z,50,,,,,,31.2
2017-12-05T01:25:28.821Z,50,,,,,,31.2
2017-12-05T01:25:38.824Z,50,,,,,,31.3
2017-12-05T01:25:58.821Z,50,,,,,,31.3
2017-12-05T01:26:08.824Z,50,,,,,,31.3
2017-12-05T01:26:18.821Z,50,0,,5,0,38.3,31.3
2017-12-05T01:26:28.824Z,,0,,59,2,,
2017-12-05T01:26:38.821Z,50,,,,,,31.3
2017-12-05T01:26:48.821Z,50,,,,,,31.3
2017-12-05T01:26:58.821Z,50,,,,,,31.3
2017-12-05T01:27:08.824Z,50,0,,5,0,,31.3
2017-12-05T01:27:18.821Z,50,0,,59,2,,31.3
2017-12-05T01:27:28.820Z,,0,,5,0,38.2,
2017-12-05T01:27:38.936Z,50,,,,,,31.3
2017-12-05T01:27:48.825Z,50,0,,59,2,,31.3
2017-12-05T01:27:58.821Z,50,0,,5,0,,31.3
2017-12-05T01:28:18.826Z,50,,,,,,31.3
2017-12-05T01:28:28.822Z,50,,,,,,31.3
2017-12-05T01:28:38.825Z,,,,,,38.1,
