Time,PrimT,ActPow,ChActive,HwActive,HwTOutlet,HwTSet,PrimTSet
2017-12-15T01:07:50.312Z,38.9,,,,33.7,50,
2017-12-15T01:08:00.310Z,39.1,29,,,,,
2017-12-15T01:08:10.310Z,39.3,,,,33.7,50,
2017-12-15T01:08:20.313Z,39.4,,,,33.8,50,
2017-12-15T01:08:30.310Z,39.5,,,,33.8,50,
2017-12-15T01:08:40.310Z,39.7,,,,33.9,50,
2017-12-15T01:08:50.310Z,39.8,,,,33.9,50,
2017-12-15T01:09:00.310Z,,,,,34,50,
2017-12-15T01:09:10.311Z,40.1,30,,,34,50,
2017-12-15T01:09:20.311Z,40.3,29,,,34.1,50,
2017-12-15T01:09:30.311Z,40.4,30,,,34.1,50,
2017-12-15T01:09:40.310Z,40.6,29,,,34.2,50,
2017-12-15T01:09:50.310Z,40.7,,,,34.2,50,
2017-12-15T01:10:00.310Z,,,,,34.3,50,
2017-12-15T01:10:10.311Z,41,,,,34.4,50,
2017-12-15T01:10:20.310Z,41.2,,,,34.4,50,
2017-12-15T01:10:30.311Z,41.3,,,,34.4,50,
2017-12-15T01:10:40.311Z,41.5,,,,34.5,50,
2017-12-15T01:10:50.310Z,41.6,,,,34.5,50,
2017-12-15T01:11:00.310Z,,,,,34.6,50,
2017-12-15T01:11:10.311Z,41.8,,,,34.7,50,
2017-12-15T01:11:20.310Z,42,30,,,,,
2017-12-15T01:11:30.311Z,41.8,0,1,0,34.8,50,
2017-12-15T01:11:40.310Z,39.3,,,,34.8,50,
2017-12-15T01:11:50.310Z,38,,,,34.9,50,
2017-12-15T01:12:00.310Z,37.5,,,,,,
2017-12-15T01:12:10.316Z,37.4,,,,34.9,50,
2017-12-15T01:12:20.310Z,,,,,35.1,50,
2017-12-15T01:12:30.310Z,,,,,35.1,50,
2017-12-15T01:12:40.310Z,,,,,35.2,50,
2017-12-15T01:12:50.310Z,37.3,,,,35.2,50,
2017-12-15T01:13:10.311Z,37.2,,,,35.3,50,
2017-12-15T01:13:20.310Z,36.9,,,,,,
2017-12-15T01:13:30.311Z,36.8,,,,35.4,50,
2017-12-15T01:13:40.311Z,,,,,35.4,50,
2017-12-15T01:14:00.355Z,,,,,35.4,50,
2017-12-15T01:14:10.340Z,,,,,35.4,50,
2017-12-15T01:14:20.311Z,36.7,,,,,,
2017-12-15T01:14:30.323Z,36.6,,,,35.4,50,
2017-12-15T01:14:40.310Z,,,,,35.4,50,
2017-12-15T01:14:50.310Z,,,,,35.5,50,
2017-12-15T01:15:10.310Z,,,,,35.5,50,
2017-12-15T01:15:30.311Z,36.5,,,,35.5,50,
2017-12-15T01:15:40.310Z,,,,,35.4,50,
2017-12-15T01:16:00.310Z,,,,,35.5,50,
2017-12-15T01:16:10.310Z,,,,,35.4,50,
2017-12-15T01:16:30.310Z,,,,,35.4,50,
2017-12-15T01:16:40.310Z,,,,,35.4,50,
2017-12-15T01:17:00.310Z,,,,,35.4,50,
2017-12-15T01:17:10.310Z,36.6,,,,35.4,50,
2017-12-15T01:17:30.310Z,,,,,35.3,50,
2017-12-15T01:17:40.310Z,,,,,35.3,50,
2017-12-15T01:18:00.311Z,,,,,35.3,50,
2017-12-15T01:18:10.310Z,36.7,,,,35.2,50,
2017-12-15T01:18:30.311Z,,,,,35.2,50,
2017-12-15T01:18:40.310Z,,,,,35.2,50,
2017-12-15T01:18:50.310Z,36.8,,,,,,
2017-12-15T01:19:00.310Z,,,,,35.2,50,
2017-12-15T01:19:10.310Z,,,,,35.1,50,
2017-12-15T01:19:30.310Z,36.9,,,,35.1,50,
2017-12-15T01:19:40.310Z,,,,,35.1,50,
2017-12-15T01:20:00.310Z,,,,,34.9,50,
2017-12-15T01:20:10.310Z,,,,,34.9,50,
2017-12-15T01:20:30.310Z,,,,,34.8,50,
