Time,ActPow,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-08T01:06:58.689Z,,,,,50,36.2,38.3
2018-02-08T01:07:08.690Z,,,,,50,36.2,
2018-02-08T01:07:18.692Z,,,,,,,38.2
2018-02-08T01:07:28.691Z,45,1,,0,50,36.2,38.4
2018-02-08T01:07:38.690Z,32,,,,50,36.2,44.9
2018-02-08T01:07:48.690Z,29,,,,50,36.3,45.3
2018-02-08T01:07:58.689Z,29,,,,,,44.4
2018-02-08T01:08:08.696Z,,,,,50,36.3,44
2018-02-08T01:08:18.689Z,,,,,,,43.8
2018-02-08T01:08:28.690Z,,,,,50,36.3,43.7
2018-02-08T01:08:38.689Z,,,,,50,36.3,
2018-02-08T01:08:48.689Z,30,,,,,,44.2
2018-02-08T01:08:58.690Z,29,,,,50,36.4,44.3
2018-02-08T01:09:08.689Z,0,,,,50,36.4,44.4
2018-02-08T01:09:18.690Z,,1,,0,50,36.4,42.1
2018-02-08T01:09:28.692Z,,,,,50,36.4,40.4
2018-02-08T01:09:38.689Z,,,,,50,36.4,39.8
2018-02-08T01:09:48.690Z,,,,,,,39.6
2018-02-08T01:09:58.689Z,,,,,50,36.5,
2018-02-08T01:10:08.690Z,,,,,50,36.5,
2018-02-08T01:10:18.690Z,,,,,,,39.5
2018-02-08T01:10:28.693Z,,,,,50,36.5,
2018-02-08T01:10:38.690Z,,,,,50,36.5,
2018-02-08T01:10:48.693Z,,,,,,,39.2
2018-02-08T01:10:58.690Z,,,,,50,36.5,39.1
2018-02-08T01:11:08.713Z,,,,,,,38.9
2018-02-08T01:11:18.689Z,,,,,50,36.6,
2018-02-08T01:11:28.691Z,,,,,50,36.6,38.8
2018-02-08T01:11:38.690Z,,,,,50,36.6,
2018-02-08T01:11:58.690Z,,,,,50,36.6,38.7
2018-02-08T01:12:08.690Z,,,,,50,36.6,
2018-02-08T01:12:18.690Z,,,,,,,38.5
2018-02-08T01:12:28.690Z,44,1,,0,50,36.6,40
2018-02-08T01:12:38.692Z,33,,,,,,43.6
2018-02-08T01:12:48.692Z,29,,,,50,36.7,43.9
2018-02-08T01:12:58.689Z,,,,,50,36.7,
2018-02-08T01:13:08.689Z,,,,,,,43.8
2018-02-08T01:13:18.689Z,,,,,50,36.7,
2018-02-08T01:13:28.690Z,,,,,50,36.7,43.9
2018-02-08T01:13:38.694Z,,,,,,,44.1
2018-02-08T01:13:48.689Z,0,,,,50,36.7,44.3
2018-02-08T01:13:58.689Z,,1,,0,50,36.7,42.1
2018-02-08T01:14:08.690Z,,,,,,,40.3
2018-02-08T01:14:18.689Z,,,,,50,36.8,39.7
2018-02-08T01:14:28.689Z,,,,,50,36.8,39.5
2018-02-08T01:14:48.690Z,,,,,50,36.8,
2018-02-08T01:14:58.731Z,,,,,50,36.8,
2018-02-08T01:15:08.709Z,,,,,,,39.4
2018-02-08T01:15:18.705Z,,,,,50,36.8,39.3
2018-02-08T01:15:28.701Z,,,,,50,36.8,39.2
2018-02-08T01:15:38.691Z,,,,,50,36.8,38.9
2018-02-08T01:15:48.689Z,,,,,,,38.8
2018-02-08T01:15:58.689Z,,,,,50,36.8,
2018-02-08T01:16:08.690Z,,,,,50,36.8,
2018-02-08T01:16:18.692Z,,,,,,,38.7
2018-02-08T01:16:28.690Z,,,,,50,36.8,
2018-02-08T01:16:38.692Z,,,,,50,36.9,
2018-02-08T01:16:48.689Z,,,,,50,36.9,38.6
2018-02-08T01:16:58.691Z,,,,,,,38.5
2018-02-08T01:17:08.690Z,,,,,50,36.9,
2018-02-08T01:17:18.729Z,,,,,50,36.9,
2018-02-08T01:17:28.727Z,,,,,50,36.9,
2018-02-08T01:17:48.690Z,,,,,50,36.9,
2018-02-08T01:17:58.692Z,,,,,50,36.9,
2018-02-08T01:18:08.692Z,,,,,,,38.4
2018-02-08T01:18:18.689Z,,,,,50,36.9,
2018-02-08T01:18:28.696Z,,,,,50,36.9,
2018-02-08T01:18:38.691Z,,,,,50,36.9,
2018-02-08T01:18:58.689Z,,,,,50,36.9,
2018-02-08T01:19:08.690Z,,,,,50,36.9,
2018-02-08T01:19:28.699Z,,,,,50,36.9,
2018-02-08T01:19:38.690Z,,,,,50,36.9,
2018-02-08T01:19:48.723Z,,,,,,,38.5
2018-02-08T01:19:58.689Z,,,,,50,36.9,
2018-02-08T01:20:08.689Z,,,,,50,36.9,
2018-02-08T01:20:28.699Z,,,,,50,36.9,
2018-02-08T01:20:38.698Z,,,,,50,36.9,
2018-02-08T01:20:48.690Z,,,,,,,38.6
2018-02-08T01:20:58.691Z,,,,,50,36.9,
2018-02-08T01:21:18.690Z,40,1,,0,50,36.9,41.6
2018-02-08T01:21:28.694Z,29,,,,50,36.9,45.5
2018-02-08T01:21:38.691Z,29,,,,,,43.6
2018-02-08T01:21:48.689Z,,,,,50,36.9,42.8
2018-02-08T01:21:58.726Z,30,,,,,,41.9
2018-02-08T01:22:08.690Z,29,,,,50,36.9,41.5
2018-02-08T01:22:18.689Z,,,,,50,36.9,
